"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1455","0.0-0.0","607ec28e6a0bde56a9d69ddc","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","136964","0.0-1.0-0.0","607ec28e6a0bde56a9d69ddc","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","158526","0.0-2.0-0.0","607ec28e6a0bde56a9d69ddc","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","201003","0.0-2.0-1.0","607ec28e6a0bde56a9d69ddc","D2","batch4","","42475.39999999106","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","201808","0.0-2.0-2.0-0.0","607ec28e6a0bde56a9d69ddc","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","219168","0.0-2.0-2.0-1.0","607ec28e6a0bde56a9d69ddc","D2","batch4","spm_respsonse","17337.20000000298","img/question_1_1.jpeg","3","mat_01","4","1","1","17337.20000000298","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","220238","0.0-2.0-2.0-0.1","607ec28e6a0bde56a9d69ddc","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","227294","0.0-2.0-2.0-1.1","607ec28e6a0bde56a9d69ddc","D2","batch4","spm_respsonse","7053.199999988079","img/question_1_2.jpeg","4","mat_02","5","1","1","7053.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","228348","0.0-2.0-2.0-0.2","607ec28e6a0bde56a9d69ddc","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","234210","0.0-2.0-2.0-1.2","607ec28e6a0bde56a9d69ddc","D2","batch4","spm_respsonse","5858.899999991059","img/question_1_3.jpeg","0","mat_03","1","1","1","5858.899999991059","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","235278","0.0-2.0-2.0-0.3","607ec28e6a0bde56a9d69ddc","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","241250","0.0-2.0-2.0-1.3","607ec28e6a0bde56a9d69ddc","D2","batch4","spm_respsonse","5969.20000000298","img/question_1_4.jpeg","1","mat_04","2","1","1","5969.20000000298","","","","","","","","","","","","","","","","","","","","",""
