"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","852","0.0-0.0","60872c9dcfad84bf2f332a4c","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10409","0.0-1.0-0.0","60872c9dcfad84bf2f332a4c","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","17440","0.0-2.0-0.0","60872c9dcfad84bf2f332a4c","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","41809","0.0-2.0-1.0-0.0","60872c9dcfad84bf2f332a4c","F1","batch6","[{""page_index"":0,""viewing_time"":14364.999999999996},{""page_index"":1,""viewing_time"":9999}]","24365.999999999996","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","43416","0.0-2.0-1.0-1.0-0.0","60872c9dcfad84bf2f332a4c","F1","batch6","","1605","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","49720","0.0-2.0-1.0-1.0-1.0","60872c9dcfad84bf2f332a4c","F1","batch6","","6302","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","52092","0.0-2.0-1.0-1.0-2.0","60872c9dcfad84bf2f332a4c","F1","batch6","","2370","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","58925","0.0-2.0-1.0-1.0-3.0","60872c9dcfad84bf2f332a4c","F1","batch6","","6831.999999999993","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","59666","0.0-2.0-1.0-1.0-4.0","60872c9dcfad84bf2f332a4c","F1","batch6","","740.0000000000073","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","62172","0.0-2.0-1.0-2.0-0.0","60872c9dcfad84bf2f332a4c","F1","batch6","","2504.0000000000073","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","64245","0.0-2.0-1.1-0.1","60872c9dcfad84bf2f332a4c","F1","batch6","[{""page_index"":0,""viewing_time"":1241.9999999999927},{""page_index"":1,""viewing_time"":828}]","2069.9999999999927","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","65004","0.0-2.0-1.1-1.1-0.1","60872c9dcfad84bf2f332a4c","F1","batch6","","758","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","66431","0.0-2.0-1.1-1.1-1.1","60872c9dcfad84bf2f332a4c","F1","batch6","","1424.9999999999854","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","67209","0.0-2.0-1.1-1.1-2.1","60872c9dcfad84bf2f332a4c","F1","batch6","","777","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","68192","0.0-2.0-1.1-1.1-3.1","60872c9dcfad84bf2f332a4c","F1","batch6","","982","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","68816","0.0-2.0-1.1-1.1-4.1","60872c9dcfad84bf2f332a4c","F1","batch6","","622","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
