"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1806","0.0-0.0","608d935efcfcd5d73e157adf","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8406","0.0-1.0-0.0","608d935efcfcd5d73e157adf","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","11296","0.0-2.0-0.0","608d935efcfcd5d73e157adf","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","52855","0.0-2.0-1.0-0.0","608d935efcfcd5d73e157adf","A3","batch1","[{""page_index"":0,""viewing_time"":36756.80000001192},{""page_index"":1,""viewing_time"":4800}]","41557.40000003576","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","53951","0.0-2.0-1.0-1.0-0.0","608d935efcfcd5d73e157adf","A3","batch1","","1094.4000000357628","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","55887","0.0-2.0-1.0-1.0-1.0","608d935efcfcd5d73e157adf","A3","batch1","","1934","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","56878","0.0-2.0-1.0-1.0-2.0","608d935efcfcd5d73e157adf","A3","batch1","","989.9000000357628","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","59615","0.0-2.0-1.0-1.0-3.0","608d935efcfcd5d73e157adf","A3","batch1","","2735","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","60456","0.0-2.0-1.0-1.0-4.0","608d935efcfcd5d73e157adf","A3","batch1","","838.6000000238419","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","61855","0.0-2.0-2.0","608d935efcfcd5d73e157adf","A3","batch1","","1397.0999999642372","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","63847","0.0-2.0-3.0-0.0","608d935efcfcd5d73e157adf","A3","batch1","","1971.300000011921","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","64865","0.0-2.0-3.0-1.0","608d935efcfcd5d73e157adf","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","66287","0.0-2.0-3.0-0.1","608d935efcfcd5d73e157adf","A3","batch1","","1420.1000000238419","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","67304","0.0-2.0-3.0-1.1","608d935efcfcd5d73e157adf","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","68415","0.0-2.0-3.0-0.2","608d935efcfcd5d73e157adf","A3","batch1","","1108.1000000238419","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","69433","0.0-2.0-3.0-1.2","608d935efcfcd5d73e157adf","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","70136","0.0-2.0-3.0-0.3","608d935efcfcd5d73e157adf","A3","batch1","","701.5999999642372","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","71151","0.0-2.0-3.0-1.3","608d935efcfcd5d73e157adf","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","72759","0.0-2.0-3.0-0.4","608d935efcfcd5d73e157adf","A3","batch1","","1606.1000000238419","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","73784","0.0-2.0-3.0-1.4","608d935efcfcd5d73e157adf","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","76649","0.0-2.0-4.0","608d935efcfcd5d73e157adf","A3","batch1","","2861.900000035763","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","77452","0.0-2.0-5.0-0.0","608d935efcfcd5d73e157adf","A3","batch1","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","81936","0.0-2.0-5.0-1.0","608d935efcfcd5d73e157adf","A3","batch1","","4481.699999988079","stim/no_58_1_w.png","j","pattern_response","true","j","pattern_35","4481.699999988079","true","1","","","","","","","","","","","","","","","","","","",""
