"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","33166","0.0-0.0","60b5141acdfeaaf91d9dc145","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","44451","0.0-1.0-0.0","60b5141acdfeaaf91d9dc145","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","48129","0.0-2.0-0.0","60b5141acdfeaaf91d9dc145","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","110369","0.0-2.0-1.0-0.0-0.0","60b5141acdfeaaf91d9dc145","C3","batch3","[{""page_index"":0,""viewing_time"":10854.5},{""page_index"":1,""viewing_time"":5672.100000023842},{""page_index"":2,""viewing_time"":8447.899999976158},{""page_index"":3,""viewing_time"":10800},{""page_index"":4,""viewing_time"":5223.900000095367},{""page_index"":5,""viewing_time"":17208},{""page_index"":6,""viewing_time"":4032}]","62238.60000002384","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","111337","0.0-2.0-1.0-1.0-0.0","60b5141acdfeaaf91d9dc145","C3","batch3","","967.3999999761581","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","115721","0.0-2.0-1.0-1.0-1.0","60b5141acdfeaaf91d9dc145","C3","batch3","","4382.799999952316","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","118049","0.0-2.0-1.0-1.0-2.0","60b5141acdfeaaf91d9dc145","C3","batch3","","2326.899999976158","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","121025","0.0-2.0-1.0-1.0-3.0","60b5141acdfeaaf91d9dc145","C3","batch3","","2975.5","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","122009","0.0-2.0-1.0-1.0-4.0","60b5141acdfeaaf91d9dc145","C3","batch3","","983.0999999046326","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","124817","0.0-2.0-1.0-2.0-0.0","60b5141acdfeaaf91d9dc145","C3","batch3","","2807.0999999046326","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
