"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","15367","0.0-0.0","60bd88b8fc436774352f53b9","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","39353","0.0-1.0-0.0","60bd88b8fc436774352f53b9","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","41345","0.0-2.0-0.0","60bd88b8fc436774352f53b9","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","87014","0.0-2.0-1.0-0.0-0.0","60bd88b8fc436774352f53b9","C3","batch3","[{""page_index"":0,""viewing_time"":7122.20000000298},{""page_index"":1,""viewing_time"":21263.5},{""page_index"":2,""viewing_time"":3670.5},{""page_index"":3,""viewing_time"":5656.100000008941},{""page_index"":4,""viewing_time"":4754.899999991059},{""page_index"":5,""viewing_time"":1769.7000000029802},{""page_index"":6,""viewing_time"":1431.0999999940395}]","45668.30000001192","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","87899","0.0-2.0-1.0-1.0-0.0","60bd88b8fc436774352f53b9","C3","batch3","","884","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","90090","0.0-2.0-1.0-1.0-1.0","60bd88b8fc436774352f53b9","C3","batch3","","2189","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","90749","0.0-2.0-1.0-1.0-2.0","60bd88b8fc436774352f53b9","C3","batch3","","657.7000000029802","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","92222","0.0-2.0-1.0-1.0-3.0","60bd88b8fc436774352f53b9","C3","batch3","","1472.5","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","92689","0.0-2.0-1.0-1.0-4.0","60bd88b8fc436774352f53b9","C3","batch3","","465.8999999910593","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","93831","0.0-2.0-2.0","60bd88b8fc436774352f53b9","C3","batch3","","1141.0999999940395","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","96534","0.0-2.0-3.0-0.0","60bd88b8fc436774352f53b9","C3","batch3","","2702","tol_practice","","","","tol_peg_2","2702","2702","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2702","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","97915","0.0-2.0-3.0-1.0","60bd88b8fc436774352f53b9","C3","batch3","","1378","tol_practice","","","","tol_peg_3","1378","1378","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1378","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","98916","0.0-2.0-4.0","60bd88b8fc436774352f53b9","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","103416","0.0-2.0-5.0-0.0","60bd88b8fc436774352f53b9","C3","batch3","","4499","tol_practice","","","","tol_peg_1","4499","4499","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","4499","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","104406","0.0-2.0-5.0-1.0","60bd88b8fc436774352f53b9","C3","batch3","","988","tol_practice","","","","tol_peg_3","988","988","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","988","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","105063","0.0-2.0-5.1-0.1","60bd88b8fc436774352f53b9","C3","batch3","","656","tol_practice","","","","tol_peg_1","656","656","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","656","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","105669","0.0-2.0-5.1-1.1","60bd88b8fc436774352f53b9","C3","batch3","","604","tol_practice","","","","tol_peg_2","604","604","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","604","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","106670","0.0-2.0-6.0","60bd88b8fc436774352f53b9","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","109272","0.0-2.0-7.0-0.0","60bd88b8fc436774352f53b9","C3","batch3","","2601","tol_practice","","","","tol_peg_2","2601","2601","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","2601","","","","","","","","","","","","","","",""
