"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","6714","0.0-0.0","60d5aea939b90bd4fbdc4251","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","16445","0.0-1.0-0.0","60d5aea939b90bd4fbdc4251","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","19761","0.0-2.0-0.0","60d5aea939b90bd4fbdc4251","A3","batch1","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","32192","0.0-2.0-1.0","60d5aea939b90bd4fbdc4251","A3","batch1","","12430","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","32998","0.0-2.0-2.0-0.0","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","37534","0.0-2.0-2.0-1.0","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","4533","img/question_1_1.jpeg","3","mat_01","4","1","1","4533","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","38599","0.0-2.0-2.0-0.1","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","41230","0.0-2.0-2.0-1.1","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","2629.5","img/question_1_2.jpeg","4","mat_02","5","1","1","2629.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","42299","0.0-2.0-2.0-0.2","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","47917","0.0-2.0-2.0-1.2","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","5616.9000000059605","img/question_1_3.jpeg","0","mat_03","1","1","1","5616.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","48979","0.0-2.0-2.0-0.3","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","51801","0.0-2.0-2.0-1.3","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","2821.1000000089407","img/question_1_4.jpeg","1","mat_04","2","1","1","2821.1000000089407","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","52864","0.0-2.0-2.0-0.4","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","56840","0.0-2.0-2.0-1.4","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","3974.699999988079","img/question_1_5.jpeg","5","mat_05","6","1","1","3974.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","57915","0.0-2.0-2.0-0.5","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","60985","0.0-2.0-2.0-1.5","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","3068.3999999910593","img/question_1_6.jpeg","2","mat_06","3","1","1","3068.3999999910593","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","62051","0.0-2.0-2.0-0.6","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","65012","0.0-2.0-2.0-1.6","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","2959.5999999940395","img/question_1_7.jpeg","5","mat_07","6","1","1","2959.5999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","66082","0.0-2.0-2.0-0.7","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","70553","0.0-2.0-2.0-1.7","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","4469.0999999940395","img/question_1_8.jpeg","1","mat_08","2","1","1","4469.0999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","71621","0.0-2.0-2.0-0.8","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","73808","0.0-2.0-2.0-1.8","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","2185.1000000089407","img/question_1_9.jpeg","0","mat_09","1","1","1","2185.1000000089407","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","74882","0.0-2.0-2.0-0.9","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","79554","0.0-2.0-2.0-1.9","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","4670.4000000059605","img/question_1_10.jpeg","2","mat_10","3","1","1","4670.4000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","80623","0.0-2.0-2.0-0.10","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","88901","0.0-2.0-2.0-1.10","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","8276.5","img/question_1_11.jpeg","3","mat_11","4","1","1","8276.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","89955","0.0-2.0-2.0-0.11","60d5aea939b90bd4fbdc4251","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","93288","0.0-2.0-2.0-1.11","60d5aea939b90bd4fbdc4251","A3","batch1","spm_respsonse","3331.300000011921","img/question_1_12.jpeg","0","mat_12","5","0","0","3331.300000011921","","","","","","","","","","","","","","","","","","","","",""
