"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","11065","0.0-0.0","60e4a68fea6bb239a06fc072","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","29658","0.0-1.0-0.0","60e4a68fea6bb239a06fc072","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","34503","0.0-2.0-0.0","60e4a68fea6bb239a06fc072","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","99996","0.0-2.0-1.0-0.0-0.0","60e4a68fea6bb239a06fc072","F1","batch6","[{""page_index"":0,""viewing_time"":15376.300000071526},{""page_index"":1,""viewing_time"":4749.599999904633},{""page_index"":2,""viewing_time"":5976.400000095367},{""page_index"":3,""viewing_time"":12328.5},{""page_index"":4,""viewing_time"":8742.699999928474},{""page_index"":5,""viewing_time"":13376.300000071526},{""page_index"":6,""viewing_time"":4940}]","65490.5","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","101468","0.0-2.0-1.0-1.0-0.0","60e4a68fea6bb239a06fc072","F1","batch6","","1468.5","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","106335","0.0-2.0-1.0-1.0-1.0","60e4a68fea6bb239a06fc072","F1","batch6","","4864.200000047684","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","107996","0.0-2.0-1.0-1.0-2.0","60e4a68fea6bb239a06fc072","F1","batch6","","1659","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","112126","0.0-2.0-1.0-1.0-3.0","60e4a68fea6bb239a06fc072","F1","batch6","","4127.400000095367","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","113065","0.0-2.0-1.0-1.0-4.0","60e4a68fea6bb239a06fc072","F1","batch6","","936.3999999761581","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","116531","0.0-2.0-2.0","60e4a68fea6bb239a06fc072","F1","batch6","","3462.6999999284744","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
