"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","6472","0.0-0.0","60e5eceb989f38c746723024","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18244","0.0-1.0-0.0","60e5eceb989f38c746723024","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","21059","0.0-2.0-0.0","60e5eceb989f38c746723024","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","32905","0.0-2.0-1.0-0.0","60e5eceb989f38c746723024","D2","batch4","[{""page_index"":0,""viewing_time"":9235.300000011921},{""page_index"":1,""viewing_time"":2609.599999964237}]","11845.199999988079","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","34278","0.0-2.0-1.0-1.0-0.0","60e5eceb989f38c746723024","D2","batch4","","1371.6000000238419","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","35830","0.0-2.0-1.0-1.0-1.0","60e5eceb989f38c746723024","D2","batch4","","1550.8999999761581","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","36821","0.0-2.0-1.0-1.0-2.0","60e5eceb989f38c746723024","D2","batch4","","989.1999999880791","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","39689","0.0-2.0-1.0-1.0-3.0","60e5eceb989f38c746723024","D2","batch4","","2867","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","40364","0.0-2.0-1.0-1.0-4.0","60e5eceb989f38c746723024","D2","batch4","","673.3999999761581","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","41950","0.0-2.0-2.0","60e5eceb989f38c746723024","D2","batch4","","1584.300000011921","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","43062","0.0-2.0-3.0-0.0","60e5eceb989f38c746723024","D2","batch4","","1108.199999988079","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","44067","0.0-2.0-3.0-1.0","60e5eceb989f38c746723024","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","44830","0.0-2.0-3.0-0.1","60e5eceb989f38c746723024","D2","batch4","","759.8000000119209","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","45832","0.0-2.0-3.0-1.1","60e5eceb989f38c746723024","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","46832","0.0-2.0-3.0-0.2","60e5eceb989f38c746723024","D2","batch4","","997.9000000357628","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","47835","0.0-2.0-3.0-1.2","60e5eceb989f38c746723024","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","48658","0.0-2.0-3.0-0.3","60e5eceb989f38c746723024","D2","batch4","","821.5999999642372","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","49660","0.0-2.0-3.0-1.3","60e5eceb989f38c746723024","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","50525","0.0-2.0-3.0-0.4","60e5eceb989f38c746723024","D2","batch4","","863.5","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","51528","0.0-2.0-3.0-1.4","60e5eceb989f38c746723024","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","55858","0.0-2.0-4.0","60e5eceb989f38c746723024","D2","batch4","","4329","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","56661","0.0-2.0-5.0-0.0","60e5eceb989f38c746723024","D2","batch4","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","59072","0.0-2.0-5.0-1.0","60e5eceb989f38c746723024","D2","batch4","","2409.5","stim/yes_44_ver_w1_w.png","j","pattern_response","false","f","pattern_66","2409.5","false","0","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","60374","0.0-2.0-5.0-0.1","60e5eceb989f38c746723024","D2","batch4","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","61130","0.0-2.0-5.0-1.1","60e5eceb989f38c746723024","D2","batch4","","754","stim/yes_30_ver_b1_b.png","f","pattern_response","true","f","pattern_54","754","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","62431","0.0-2.0-5.0-0.2","60e5eceb989f38c746723024","D2","batch4","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","67572","0.0-2.0-5.0-1.2","60e5eceb989f38c746723024","D2","batch4","","5139.400000035763","stim/yes_63_dia_b1.png","j","pattern_response","false","f","pattern_78","5139.400000035763","false","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","68873","0.0-2.0-5.0-0.3","60e5eceb989f38c746723024","D2","batch4","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","72598","0.0-2.0-5.0-1.3","60e5eceb989f38c746723024","D2","batch4","","3722.099999964237","stim/no_15_1_w.png","j","pattern_response","true","j","pattern_03","3722.099999964237","true","2","","","","","","","","","","","","","","","","","","",""
