"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1203","0.0-0.0","60e792f25e9ab875f9605cf5","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","4302","0.0-1.0-0.0","60e792f25e9ab875f9605cf5","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","6798","0.0-2.0-0.0","60e792f25e9ab875f9605cf5","A3","batch1","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","11271","0.0-2.0-1.0","60e792f25e9ab875f9605cf5","A3","batch1","","4470.699999928474","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","12076","0.0-2.0-2.0-0.0","60e792f25e9ab875f9605cf5","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","19917","0.0-2.0-2.0-1.0","60e792f25e9ab875f9605cf5","A3","batch1","spm_respsonse","7831.200000047684","img/question_1_1.jpeg","3","mat_01","4","1","1","7831.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","20969","0.0-2.0-2.0-0.1","60e792f25e9ab875f9605cf5","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","23258","0.0-2.0-2.0-1.1","60e792f25e9ab875f9605cf5","A3","batch1","spm_respsonse","2286.399999976158","img/question_1_2.jpeg","4","mat_02","5","1","1","2286.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","24311","0.0-2.0-2.0-0.2","60e792f25e9ab875f9605cf5","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","26823","0.0-2.0-2.0-1.2","60e792f25e9ab875f9605cf5","A3","batch1","spm_respsonse","2507.899999976158","img/question_1_3.jpeg","0","mat_03","1","1","1","2507.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","27878","0.0-2.0-2.0-0.3","60e792f25e9ab875f9605cf5","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","30581","0.0-2.0-2.0-1.3","60e792f25e9ab875f9605cf5","A3","batch1","spm_respsonse","2701","img/question_1_4.jpeg","1","mat_04","2","1","1","2701","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","31634","0.0-2.0-2.0-0.4","60e792f25e9ab875f9605cf5","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","35835","0.0-2.0-2.0-1.4","60e792f25e9ab875f9605cf5","A3","batch1","spm_respsonse","4197.399999976158","img/question_1_5.jpeg","5","mat_05","6","1","1","4197.399999976158","","","","","","","","","","","","","","","","","","","","",""
