"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1043","0.0-0.0","60ebd10c620f3e024c3a39a5","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","23673","0.0-1.0-0.0","60ebd10c620f3e024c3a39a5","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","28887","0.0-2.0-0.0","60ebd10c620f3e024c3a39a5","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","106791","0.0-2.0-1.0-0.0-0.0","60ebd10c620f3e024c3a39a5","F1","batch6","[{""page_index"":0,""viewing_time"":19764.699999999255},{""page_index"":1,""viewing_time"":6652},{""page_index"":2,""viewing_time"":3069.800000000745},{""page_index"":3,""viewing_time"":10914.199999999255},{""page_index"":4,""viewing_time"":11307.300000000745},{""page_index"":5,""viewing_time"":22829.800000000745},{""page_index"":6,""viewing_time"":3364.5}]","77902.69999999925","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","108285","0.0-2.0-1.0-1.0-0.0","60ebd10c620f3e024c3a39a5","F1","batch6","","1493.0999999996275","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","117751","0.0-2.0-1.0-1.0-1.0","60ebd10c620f3e024c3a39a5","F1","batch6","","9464.700000001118","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","119704","0.0-2.0-1.0-1.0-2.0","60ebd10c620f3e024c3a39a5","F1","batch6","","1952.5999999996275","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","122940","0.0-2.0-1.0-1.0-3.0","60ebd10c620f3e024c3a39a5","F1","batch6","","3235.0999999996275","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","124704","0.0-2.0-1.0-1.0-4.0","60ebd10c620f3e024c3a39a5","F1","batch6","","1762.9000000003725","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","126770","0.0-2.0-1.0-2.0-0.0","60ebd10c620f3e024c3a39a5","F1","batch6","","2065.5","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
