"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","3957","0.0-0.0","60f3c1b003bbf8263f002824","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","54196","0.0-1.0-0.0","60f3c1b003bbf8263f002824","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","66766","0.0-2.0-0.0","60f3c1b003bbf8263f002824","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","103305","0.0-2.0-1.0-0.0","60f3c1b003bbf8263f002824","C3","batch3","[{""page_index"":0,""viewing_time"":21837.200000047684},{""page_index"":1,""viewing_time"":14700}]","36537.60000002384","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","105452","0.0-2.0-1.0-1.0-0.0","60f3c1b003bbf8263f002824","C3","batch3","","2145.399999976158","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","108628","0.0-2.0-1.0-1.0-1.0","60f3c1b003bbf8263f002824","C3","batch3","","3174.7000000476837","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","110373","0.0-2.0-1.0-1.0-2.0","60f3c1b003bbf8263f002824","C3","batch3","","1742.8999999761581","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","118597","0.0-2.0-1.0-1.0-3.0","60f3c1b003bbf8263f002824","C3","batch3","","8222.700000047684","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","120136","0.0-2.0-1.0-1.0-4.0","60f3c1b003bbf8263f002824","C3","batch3","","1536.7000000476837","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","128457","0.0-2.0-2.0","60f3c1b003bbf8263f002824","C3","batch3","","8319.099999904633","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","129595","0.0-2.0-3.0-0.0","60f3c1b003bbf8263f002824","C3","batch3","","1135.3999999761581","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","130613","0.0-2.0-3.0-1.0","60f3c1b003bbf8263f002824","C3","batch3","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","132795","0.0-2.0-3.0-0.1","60f3c1b003bbf8263f002824","C3","batch3","","2180.399999976158","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","133813","0.0-2.0-3.0-1.1","60f3c1b003bbf8263f002824","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","134785","0.0-2.0-3.0-0.2","60f3c1b003bbf8263f002824","C3","batch3","","971.3999999761581","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","135805","0.0-2.0-3.0-1.2","60f3c1b003bbf8263f002824","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","136687","0.0-2.0-3.0-0.3","60f3c1b003bbf8263f002824","C3","batch3","","881","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","137708","0.0-2.0-3.0-1.3","60f3c1b003bbf8263f002824","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","138970","0.0-2.0-3.0-0.4","60f3c1b003bbf8263f002824","C3","batch3","","1260.7999999523163","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","139992","0.0-2.0-3.0-1.4","60f3c1b003bbf8263f002824","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","146717","0.0-2.0-4.0","60f3c1b003bbf8263f002824","C3","batch3","","6722.899999976158","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","147531","0.0-2.0-5.0-0.0","60f3c1b003bbf8263f002824","C3","batch3","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","149204","0.0-2.0-5.0-1.0","60f3c1b003bbf8263f002824","C3","batch3","","1672.5","stim/no_58_1_w.png","j","pattern_response","true","j","pattern_35","1672.5","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","150531","0.0-2.0-5.0-0.1","60f3c1b003bbf8263f002824","C3","batch3","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","151979","0.0-2.0-5.0-1.1","60f3c1b003bbf8263f002824","C3","batch3","","1447.3000000715256","stim/yes_33_dia_w1_w.png","j","pattern_response","false","f","pattern_56","1447.3000000715256","false","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","153296","0.0-2.0-5.0-0.2","60f3c1b003bbf8263f002824","C3","batch3","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","155388","0.0-2.0-5.0-1.2","60f3c1b003bbf8263f002824","C3","batch3","","2090.399999976158","stim/no_22_1_b.png","j","pattern_response","true","j","pattern_07","2090.399999976158","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","156700","0.0-2.0-5.0-0.3","60f3c1b003bbf8263f002824","C3","batch3","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","158442","0.0-2.0-5.0-1.3","60f3c1b003bbf8263f002824","C3","batch3","","1739.8999999761581","stim/no_43_2_b.png","j","pattern_response","true","j","pattern_23","1739.8999999761581","true","3","","","","","","","","","","","","","","","","","","",""
