"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2762","0.0-0.0","60f5dc6cba19bf6145b8c921","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9785","0.0-1.0-0.0","60f5dc6cba19bf6145b8c921","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","13509","0.0-2.0-0.0","60f5dc6cba19bf6145b8c921","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","24754","0.0-2.0-1.0-0.0","60f5dc6cba19bf6145b8c921","D2","batch4","[{""page_index"":0,""viewing_time"":7894.699999928474},{""page_index"":1,""viewing_time"":3347.899999976158}]","11243.199999928474","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","25884","0.0-2.0-1.0-1.0-0.0","60f5dc6cba19bf6145b8c921","D2","batch4","","1128","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","28227","0.0-2.0-1.0-1.0-1.0","60f5dc6cba19bf6145b8c921","D2","batch4","","2340.899999976158","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","29162","0.0-2.0-1.0-1.0-2.0","60f5dc6cba19bf6145b8c921","D2","batch4","","933.1000000238419","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","32084","0.0-2.0-1.0-1.0-3.0","60f5dc6cba19bf6145b8c921","D2","batch4","","2921","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","33041","0.0-2.0-1.0-1.0-4.0","60f5dc6cba19bf6145b8c921","D2","batch4","","954.7999999523163","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","36415","0.0-2.0-2.0","60f5dc6cba19bf6145b8c921","D2","batch4","","3372.7000000476837","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","37941","0.0-2.0-3.0-0.0","60f5dc6cba19bf6145b8c921","D2","batch4","","1508.7999999523163","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","38962","0.0-2.0-3.0-1.0","60f5dc6cba19bf6145b8c921","D2","batch4","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
