"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1083","0.0-0.0","60fd01cc86bb3e402db85e93","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9295","0.0-1.0-0.0","60fd01cc86bb3e402db85e93","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","11869","0.0-2.0-0.0","60fd01cc86bb3e402db85e93","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","56359","0.0-2.0-1.0-0.0-0.0","60fd01cc86bb3e402db85e93","A3","batch1","[{""page_index"":0,""viewing_time"":12251.900000095367},{""page_index"":1,""viewing_time"":5178.400000095367},{""page_index"":2,""viewing_time"":3369.5999999046326},{""page_index"":3,""viewing_time"":8205},{""page_index"":4,""viewing_time"":2386.9000000953674},{""page_index"":5,""viewing_time"":9624.299999713898},{""page_index"":6,""viewing_time"":3472.2000002861023}]","44488.5","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","57420","0.0-2.0-1.0-1.0-0.0","60fd01cc86bb3e402db85e93","A3","batch1","","1060.8000001907349","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","61130","0.0-2.0-1.0-1.0-1.0","60fd01cc86bb3e402db85e93","A3","batch1","","3708.0999999046326","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","62070","0.0-2.0-1.0-1.0-2.0","60fd01cc86bb3e402db85e93","A3","batch1","","938.8000001907349","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","64720","0.0-2.0-1.0-1.0-3.0","60fd01cc86bb3e402db85e93","A3","batch1","","2649.7000002861023","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","65542","0.0-2.0-1.0-1.0-4.0","60fd01cc86bb3e402db85e93","A3","batch1","","821.4000000953674","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","67075","0.0-2.0-2.0","60fd01cc86bb3e402db85e93","A3","batch1","","1531.2000002861023","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","71183","0.0-2.0-3.0-0.0","60fd01cc86bb3e402db85e93","A3","batch1","","4107","tol_practice","","","","tol_peg_2","4107","4107","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","4107","","","","","","","","","","","","","","",""
