"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1260","0.0-0.0","60fdf6b3117c2aeb33f2dd99","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","12343","0.0-1.0-0.0","60fdf6b3117c2aeb33f2dd99","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","17077","0.0-2.0-0.0","60fdf6b3117c2aeb33f2dd99","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","89071","0.0-2.0-1.0-0.0-0.0","60fdf6b3117c2aeb33f2dd99","B2","batch2","[{""page_index"":0,""viewing_time"":16677.300000190735},{""page_index"":1,""viewing_time"":6396.900000095367},{""page_index"":2,""viewing_time"":6920.699999809265},{""page_index"":3,""viewing_time"":7430.400000095367},{""page_index"":4,""viewing_time"":10656.900000095367},{""page_index"":5,""viewing_time"":19671.89999961853},{""page_index"":6,""viewing_time"":4238.700000286102}]","71993","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","90415","0.0-2.0-1.0-1.0-0.0","60fdf6b3117c2aeb33f2dd99","B2","batch2","","1343.6000003814697","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","96466","0.0-2.0-1.0-1.0-1.0","60fdf6b3117c2aeb33f2dd99","B2","batch2","","6050","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","98549","0.0-2.0-1.0-1.0-2.0","60fdf6b3117c2aeb33f2dd99","B2","batch2","","2081.5999999046326","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","102546","0.0-2.0-1.0-1.0-3.0","60fdf6b3117c2aeb33f2dd99","B2","batch2","","3996.6000003814697","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","103435","0.0-2.0-1.0-1.0-4.0","60fdf6b3117c2aeb33f2dd99","B2","batch2","","888.1999998092651","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","106110","0.0-2.0-2.0","60fdf6b3117c2aeb33f2dd99","B2","batch2","","2674","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","110318","0.0-2.0-3.0-0.0","60fdf6b3117c2aeb33f2dd99","B2","batch2","","4208","tol_practice","","","","tol_peg_2","4208","4208","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","4208","","","","","","","","","","","","","","",""
