"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","3884","0.0-0.0","60fe326ef1dbd49c6bcce651","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","8345","0.0-1.0-0.0","60fe326ef1dbd49c6bcce651","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","14374","0.0-2.0-0.0","60fe326ef1dbd49c6bcce651","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","122256","0.0-2.0-1.0","60fe326ef1dbd49c6bcce651","D2","batch4","","107885","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","123058","0.0-2.0-2.0-0.0","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","129853","0.0-2.0-2.0-1.0","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","6783.000000000029","img/question_1_1.jpeg","3","mat_01","4","1","1","6783.000000000029","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","130906","0.0-2.0-2.0-0.1","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","134253","0.0-2.0-2.0-1.1","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","3340","img/question_1_2.jpeg","4","mat_02","5","1","1","3340","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","135306","0.0-2.0-2.0-0.2","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","138236","0.0-2.0-2.0-1.2","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","2925","img/question_1_3.jpeg","0","mat_03","1","1","1","2925","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","139289","0.0-2.0-2.0-0.3","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","144236","0.0-2.0-2.0-1.3","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","4941","img/question_1_4.jpeg","1","mat_04","2","1","1","4941","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","145289","0.0-2.0-2.0-0.4","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","149169","0.0-2.0-2.0-1.4","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","3875","img/question_1_5.jpeg","5","mat_05","6","1","1","3875","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","150222","0.0-2.0-2.0-0.5","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","152853","0.0-2.0-2.0-1.5","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","2627.000000000029","img/question_1_6.jpeg","2","mat_06","3","1","1","2627.000000000029","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","153905","0.0-2.0-2.0-0.6","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","159254","0.0-2.0-2.0-1.6","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","5343","img/question_1_7.jpeg","5","mat_07","6","1","1","5343","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","160306","0.0-2.0-2.0-0.7","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","162919","0.0-2.0-2.0-1.7","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","2608","img/question_1_8.jpeg","1","mat_08","2","1","1","2608","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","163972","0.0-2.0-2.0-0.8","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","167870","0.0-2.0-2.0-1.8","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","3894.000000000029","img/question_1_9.jpeg","4","mat_09","1","0","0","3894.000000000029","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","168922","0.0-2.0-2.0-0.9","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","174402","0.0-2.0-2.0-1.9","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","5476","img/question_1_10.jpeg","2","mat_10","3","1","1","5476","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","175454","0.0-2.0-2.0-0.10","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","183470","0.0-2.0-2.0-1.10","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","8010","img/question_1_11.jpeg","3","mat_11","4","1","1","8010","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","184521","0.0-2.0-2.0-0.11","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","189870","0.0-2.0-2.0-1.11","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","5343.000000000029","img/question_1_12.jpeg","4","mat_12","5","1","1","5343.000000000029","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","190921","0.0-2.0-2.0-0.12","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","193386","0.0-2.0-2.0-1.12","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","2459","img/question_2_1.jpeg","1","mat_13","2","1","1","2459","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","194439","0.0-2.0-2.0-0.13","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","198402","0.0-2.0-2.0-1.13","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","3959","img/question_2_2.jpeg","5","mat_14","6","1","1","3959","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","199455","0.0-2.0-2.0-0.14","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","203170","0.0-2.0-2.0-1.14","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","3713","img/question_2_3.jpeg","0","mat_15","1","1","1","3713","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","204223","0.0-2.0-2.0-0.15","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","207286","0.0-2.0-2.0-1.15","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","3058.000000000029","img/question_2_4.jpeg","1","mat_16","2","1","1","3058.000000000029","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","208339","0.0-2.0-2.0-0.16","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","219452","0.0-2.0-2.0-1.16","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","11108","img/question_2_5.jpeg","0","mat_17","1","1","1","11108","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","220505","0.0-2.0-2.0-0.17","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","222853","0.0-2.0-2.0-1.17","60fe326ef1dbd49c6bcce651","D2","batch4","spm_respsonse","2343","img/question_2_6.jpeg","2","mat_18","3","1","1","2343","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","223906","0.0-2.0-2.0-0.18","60fe326ef1dbd49c6bcce651","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
