"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","29907","0.0-0.0","60feb622ae107ad3083ebde6","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","41222","0.0-1.0-0.0","60feb622ae107ad3083ebde6","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","43632","0.0-2.0-0.0","60feb622ae107ad3083ebde6","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","85201","0.0-2.0-1.0-0.0-0.0","60feb622ae107ad3083ebde6","D2","batch4","[{""page_index"":0,""viewing_time"":9208},{""page_index"":1,""viewing_time"":3905.2999999821186},{""page_index"":2,""viewing_time"":3746.600000023842},{""page_index"":3,""viewing_time"":6666.5},{""page_index"":4,""viewing_time"":6172.5},{""page_index"":5,""viewing_time"":10260.5},{""page_index"":6,""viewing_time"":1609.199999988079}]","41568.90000000596","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","86225","0.0-2.0-1.0-1.0-0.0","60feb622ae107ad3083ebde6","D2","batch4","","1023.3000000119209","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","89162","0.0-2.0-1.0-1.0-1.0","60feb622ae107ad3083ebde6","D2","batch4","","2935.7000000178814","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","89932","0.0-2.0-1.0-1.0-2.0","60feb622ae107ad3083ebde6","D2","batch4","","768.1999999880791","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","91707","0.0-2.0-1.0-1.0-3.0","60feb622ae107ad3083ebde6","D2","batch4","","1773.9000000059605","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","92256","0.0-2.0-1.0-1.0-4.0","60feb622ae107ad3083ebde6","D2","batch4","","547.5999999940395","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","93135","0.0-2.0-2.0","60feb622ae107ad3083ebde6","D2","batch4","","877.5","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
