"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","5041","0.0-0.0","60ff3613da8baf747efb64d4","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","15181","0.0-1.0-0.0","60ff3613da8baf747efb64d4","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","19810","0.0-2.0-0.0","60ff3613da8baf747efb64d4","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","30645","0.0-2.0-1.0-0.0","60ff3613da8baf747efb64d4","C3","batch3","[{""page_index"":0,""viewing_time"":6903.5},{""page_index"":1,""viewing_time"":3929.0999999940395}]","10832.90000000596","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","31553","0.0-2.0-1.0-1.0-0.0","60ff3613da8baf747efb64d4","C3","batch3","","905.8999999910593","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","33421","0.0-2.0-1.0-1.0-1.0","60ff3613da8baf747efb64d4","C3","batch3","","1864.9000000059605","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","35035","0.0-2.0-1.0-1.0-2.0","60ff3613da8baf747efb64d4","C3","batch3","","1612.9000000059605","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","38393","0.0-2.0-1.0-1.0-3.0","60ff3613da8baf747efb64d4","C3","batch3","","3356","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","39097","0.0-2.0-1.0-1.0-4.0","60ff3613da8baf747efb64d4","C3","batch3","","702","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","40087","0.0-2.0-2.0","60ff3613da8baf747efb64d4","C3","batch3","","988.1000000089407","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","42110","0.0-2.0-3.0-0.0","60ff3613da8baf747efb64d4","C3","batch3","","2002.7999999970198","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
