"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1624","0.0-0.0","6100158db3080c7b157e85f1","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","66734","0.0-1.0-0.0","6100158db3080c7b157e85f1","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","70482","0.0-2.0-0.0","6100158db3080c7b157e85f1","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","89910","0.0-2.0-1.0-0.0","6100158db3080c7b157e85f1","B2","batch2","[{""page_index"":0,""viewing_time"":12603.799999982119},{""page_index"":1,""viewing_time"":6822.200000017881}]","19426.5","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","91417","0.0-2.0-1.0-1.0-0.0","6100158db3080c7b157e85f1","B2","batch2","","1504.4000000059605","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","95186","0.0-2.0-1.0-1.0-1.0","6100158db3080c7b157e85f1","B2","batch2","","3766.0999999940395","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","96783","0.0-2.0-1.0-1.0-2.0","6100158db3080c7b157e85f1","B2","batch2","","1595.0999999940395","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","100985","0.0-2.0-1.0-1.0-3.0","6100158db3080c7b157e85f1","B2","batch2","","4200.0999999940395","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","101738","0.0-2.0-1.0-1.0-4.0","6100158db3080c7b157e85f1","B2","batch2","","751.1000000238419","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","104110","0.0-2.0-2.0","6100158db3080c7b157e85f1","B2","batch2","","2368.600000023842","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","107502","0.0-2.0-3.0-0.0","6100158db3080c7b157e85f1","B2","batch2","","3367.2999999821186","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","108511","0.0-2.0-3.0-1.0","6100158db3080c7b157e85f1","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","110182","0.0-2.0-3.0-0.1","6100158db3080c7b157e85f1","B2","batch2","","1669.2000000178814","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","111190","0.0-2.0-3.0-1.1","6100158db3080c7b157e85f1","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","113627","0.0-2.0-3.0-0.2","6100158db3080c7b157e85f1","B2","batch2","","2434.4000000059605","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","114646","0.0-2.0-3.0-1.2","6100158db3080c7b157e85f1","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","115971","0.0-2.0-3.0-0.3","6100158db3080c7b157e85f1","B2","batch2","","1321.7999999821186","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","116983","0.0-2.0-3.0-1.3","6100158db3080c7b157e85f1","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","118305","0.0-2.0-3.0-0.4","6100158db3080c7b157e85f1","B2","batch2","","1319.699999988079","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","119311","0.0-2.0-3.0-1.4","6100158db3080c7b157e85f1","B2","batch2","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","122937","0.0-2.0-4.0","6100158db3080c7b157e85f1","B2","batch2","","3624.4000000059605","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","123744","0.0-2.0-5.0-0.0","6100158db3080c7b157e85f1","B2","batch2","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","127421","0.0-2.0-5.0-1.0","6100158db3080c7b157e85f1","B2","batch2","","3674.2000000178814","stim/no_36_1_b.png","j","pattern_response","true","j","pattern_17","3674.2000000178814","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","128740","0.0-2.0-5.0-0.1","6100158db3080c7b157e85f1","B2","batch2","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","134003","0.0-2.0-5.0-1.1","6100158db3080c7b157e85f1","B2","batch2","","5261.199999988079","stim/no_43_2_b.png","j","pattern_response","true","j","pattern_23","5261.199999988079","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","135322","0.0-2.0-5.0-0.2","6100158db3080c7b157e85f1","B2","batch2","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","140998","0.0-2.0-5.0-1.2","6100158db3080c7b157e85f1","B2","batch2","","5674.300000011921","stim/yes_58_dia_w1_w.png","j","pattern_response","false","f","pattern_76","5674.300000011921","false","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","142316","0.0-2.0-5.0-0.3","6100158db3080c7b157e85f1","B2","batch2","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","144046","0.0-2.0-5.0-1.3","6100158db3080c7b157e85f1","B2","batch2","","1727.2000000178814","stim/yes_30_ver_b1_b.png","f","pattern_response","true","f","pattern_54","1727.2000000178814","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","145360","0.0-2.0-5.0-0.4","6100158db3080c7b157e85f1","B2","batch2","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","146137","0.0-2.0-5.0-1.4","6100158db3080c7b157e85f1","B2","batch2","","775.0999999940395","stim/yes_23_ver_b1.png","f","pattern_response","true","f","pattern_48","775.0999999940395","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","147452","0.0-2.0-5.0-0.5","6100158db3080c7b157e85f1","B2","batch2","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","148948","0.0-2.0-5.0-1.5","6100158db3080c7b157e85f1","B2","batch2","","1493.4000000059605","stim/yes_53_ver_b1_b.png","f","pattern_response","true","f","pattern_74","1493.4000000059605","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","150266","0.0-2.0-5.0-0.6","6100158db3080c7b157e85f1","B2","batch2","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","151069","0.0-2.0-5.0-1.6","6100158db3080c7b157e85f1","B2","batch2","","800.5","stim/yes_70_ver_b1.png","f","pattern_response","true","f","pattern_80","800.5","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","152388","0.0-2.0-5.0-0.7","6100158db3080c7b157e85f1","B2","batch2","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","155448","0.0-2.0-5.0-1.7","6100158db3080c7b157e85f1","B2","batch2","","3058.2999999821186","stim/yes_42_dia_w1_w.png","j","pattern_response","false","f","pattern_64","3058.2999999821186","false","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","156765","0.0-2.0-5.0-0.8","6100158db3080c7b157e85f1","B2","batch2","","null","<p class=block-text>Trial 9 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","38","159881","0.0-2.0-5.0-1.8","6100158db3080c7b157e85f1","B2","batch2","","3113.9000000059605","stim/yes_63_dia_b1.png","f","pattern_response","true","f","pattern_78","3113.9000000059605","true","7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","161197","0.0-2.0-5.0-0.9","6100158db3080c7b157e85f1","B2","batch2","","null","<p class=block-text>Trial 10 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","40","162465","0.0-2.0-5.0-1.9","6100158db3080c7b157e85f1","B2","batch2","","1265.699999988079","stim/yes_46_ver_b1_b.png","f","pattern_response","true","f","pattern_68","1265.699999988079","true","8","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","163780","0.0-2.0-5.0-0.10","6100158db3080c7b157e85f1","B2","batch2","","null","<p class=block-text>Trial 11 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","42","169764","0.0-2.0-5.0-1.10","6100158db3080c7b157e85f1","B2","batch2","","5982.0999999940395","stim/no_37_2_w.png","j","pattern_response","true","j","pattern_19","5982.0999999940395","true","9","","","","","","","","","","","","","","","","","","",""
