"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1303","0.0-0.0","6101122085410e70ca020a04","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7325","0.0-1.0-0.0","6101122085410e70ca020a04","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","9975","0.0-2.0-0.0","6101122085410e70ca020a04","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","83466","0.0-2.0-1.0-0.0-0.0","6101122085410e70ca020a04","A3","batch1","[{""page_index"":0,""viewing_time"":36833.60000002384},{""page_index"":1,""viewing_time"":4684.399999976158},{""page_index"":2,""viewing_time"":3794.2000000476837},{""page_index"":3,""viewing_time"":8529},{""page_index"":4,""viewing_time"":9039.799999952316},{""page_index"":5,""viewing_time"":7961.799999952316},{""page_index"":6,""viewing_time"":2646}]","73489","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","84330","0.0-2.0-1.0-1.0-0.0","6101122085410e70ca020a04","A3","batch1","","862.8999999761581","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","89095","0.0-2.0-1.0-1.0-1.0","6101122085410e70ca020a04","A3","batch1","","4763.700000047684","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","90388","0.0-2.0-1.0-1.0-2.0","6101122085410e70ca020a04","A3","batch1","","1291.1000000238419","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","93344","0.0-2.0-1.0-1.0-3.0","6101122085410e70ca020a04","A3","batch1","","2953.6999999284744","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","94104","0.0-2.0-1.0-1.0-4.0","6101122085410e70ca020a04","A3","batch1","","759.5","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","95213","0.0-2.0-2.0","6101122085410e70ca020a04","A3","batch1","","1107.5","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
