"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","4455","0.0-0.0","6101f78a3f9b44e8c17e8593","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","13701","0.0-1.0-0.0","6101f78a3f9b44e8c17e8593","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","17230","0.0-2.0-0.0","6101f78a3f9b44e8c17e8593","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","87931","0.0-2.0-1.0-0.0-0.0","6101f78a3f9b44e8c17e8593","A3","batch1","[{""page_index"":0,""viewing_time"":25531.099999964237},{""page_index"":1,""viewing_time"":7630},{""page_index"":2,""viewing_time"":4486.100000023842},{""page_index"":3,""viewing_time"":8024.800000011921},{""page_index"":4,""viewing_time"":9818.800000011921},{""page_index"":5,""viewing_time"":11097.899999976158},{""page_index"":6,""viewing_time"":4107.899999976158}]","70697","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","89493","0.0-2.0-1.0-1.0-0.0","6101f78a3f9b44e8c17e8593","A3","batch1","","1560.6000000238419","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","103167","0.0-2.0-1.0-1.0-1.0","6101f78a3f9b44e8c17e8593","A3","batch1","","13648.299999952316","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","104705","0.0-2.0-1.0-1.0-2.0","6101f78a3f9b44e8c17e8593","A3","batch1","","1536.199999988079","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","107652","0.0-2.0-1.0-1.0-3.0","6101f78a3f9b44e8c17e8593","A3","batch1","","2944.800000011921","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","113701","0.0-2.0-1.0-1.0-4.0","6101f78a3f9b44e8c17e8593","A3","batch1","","6047.600000023842","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","115541","0.0-2.0-2.0","6101f78a3f9b44e8c17e8593","A3","batch1","","1837.699999988079","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
