"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","21606","0.0-0.0","6102c81e911700cf7ba5f6bd","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","39337","0.0-1.0-0.0","6102c81e911700cf7ba5f6bd","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","46404","0.0-2.0-0.0","6102c81e911700cf7ba5f6bd","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","67115","0.0-2.0-1.0","6102c81e911700cf7ba5f6bd","C3","batch3","","20708.60000000149","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","67927","0.0-2.0-2.0-0.0","6102c81e911700cf7ba5f6bd","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","75988","0.0-2.0-2.0-1.0","6102c81e911700cf7ba5f6bd","C3","batch3","spm_respsonse","8055.5999999996275","img/question_1_1.jpeg","3","mat_01","4","1","1","8055.5999999996275","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","77057","0.0-2.0-2.0-0.1","6102c81e911700cf7ba5f6bd","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","81347","0.0-2.0-2.0-1.1","6102c81e911700cf7ba5f6bd","C3","batch3","spm_respsonse","4286.9000000003725","img/question_1_2.jpeg","4","mat_02","5","1","1","4286.9000000003725","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","82408","0.0-2.0-2.0-0.2","6102c81e911700cf7ba5f6bd","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","85562","0.0-2.0-2.0-1.2","6102c81e911700cf7ba5f6bd","C3","batch3","spm_respsonse","3148.5999999996275","img/question_1_3.jpeg","0","mat_03","1","1","1","3148.5999999996275","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","86616","0.0-2.0-2.0-0.3","6102c81e911700cf7ba5f6bd","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","90732","0.0-2.0-2.0-1.3","6102c81e911700cf7ba5f6bd","C3","batch3","spm_respsonse","4112.800000000745","img/question_1_4.jpeg","1","mat_04","2","1","1","4112.800000000745","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","91871","0.0-2.0-2.0-0.4","6102c81e911700cf7ba5f6bd","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","104419","0.0-2.0-2.0-1.4","6102c81e911700cf7ba5f6bd","C3","batch3","spm_respsonse","12545.699999999255","img/question_1_5.jpeg","5","mat_05","6","1","1","12545.699999999255","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","105477","0.0-2.0-2.0-0.5","6102c81e911700cf7ba5f6bd","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","108491","0.0-2.0-2.0-1.5","6102c81e911700cf7ba5f6bd","C3","batch3","spm_respsonse","3011.199999999255","img/question_1_6.jpeg","2","mat_06","3","1","1","3011.199999999255","","","","","","","","","","","","","","","","","","","","",""
