"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1331","0.0-0.0","6103633e0fd9cc6d809eab4d","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","13928","0.0-1.0-0.0","6103633e0fd9cc6d809eab4d","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16315","0.0-2.0-0.0","6103633e0fd9cc6d809eab4d","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","55118","0.0-2.0-1.0-0.0-0.0","6103633e0fd9cc6d809eab4d","D2","batch4","[{""page_index"":0,""viewing_time"":7664.299999982119},{""page_index"":1,""viewing_time"":5493.300000011921},{""page_index"":2,""viewing_time"":3640.4000000059605},{""page_index"":3,""viewing_time"":6847.899999976158},{""page_index"":4,""viewing_time"":4252.9000000059605},{""page_index"":5,""viewing_time"":7687.5},{""page_index"":6,""viewing_time"":3214.9000000059605}]","38801.79999998212","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","56055","0.0-2.0-1.0-1.0-0.0","6103633e0fd9cc6d809eab4d","D2","batch4","","934.0999999940395","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","65988","0.0-2.0-1.0-1.0-1.0","6103633e0fd9cc6d809eab4d","D2","batch4","","9931.40000000596","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","66945","0.0-2.0-1.0-1.0-2.0","6103633e0fd9cc6d809eab4d","D2","batch4","","954.0999999940395","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","69109","0.0-2.0-1.0-1.0-3.0","6103633e0fd9cc6d809eab4d","D2","batch4","","2159.9000000059605","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","69682","0.0-2.0-1.0-1.0-4.0","6103633e0fd9cc6d809eab4d","D2","batch4","","571.2000000178814","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","71164","0.0-2.0-2.0","6103633e0fd9cc6d809eab4d","D2","batch4","","1479.4000000059605","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","72822","0.0-2.0-3.0-0.0","6103633e0fd9cc6d809eab4d","D2","batch4","","1655","tol_practice","","","","tol_peg_2","1655","1655","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1655","","","","","","","","","","","","","","",""
