"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1161","0.0-0.0","6105e13dc0f11571c132344e","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","6340","0.0-1.0-0.0","6105e13dc0f11571c132344e","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","10023","0.0-2.0-0.0","6105e13dc0f11571c132344e","F1","batch6","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","23418","0.0-2.0-1.0","6105e13dc0f11571c132344e","F1","batch6","","13393","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","24221","0.0-2.0-2.0-0.0","6105e13dc0f11571c132344e","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","32136","0.0-2.0-2.0-1.0","6105e13dc0f11571c132344e","F1","batch6","spm_respsonse","7901","img/question_1_1.jpeg","3","mat_01","4","1","1","7901","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","33191","0.0-2.0-2.0-0.1","6105e13dc0f11571c132344e","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","35869","0.0-2.0-2.0-1.1","6105e13dc0f11571c132344e","F1","batch6","spm_respsonse","2666","img/question_1_2.jpeg","4","mat_02","5","1","1","2666","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","36922","0.0-2.0-2.0-0.2","6105e13dc0f11571c132344e","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","39753","0.0-2.0-2.0-1.2","6105e13dc0f11571c132344e","F1","batch6","spm_respsonse","2819","img/question_1_3.jpeg","0","mat_03","1","1","1","2819","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","40806","0.0-2.0-2.0-0.3","6105e13dc0f11571c132344e","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","43185","0.0-2.0-2.0-1.3","6105e13dc0f11571c132344e","F1","batch6","spm_respsonse","2368","img/question_1_4.jpeg","1","mat_04","2","1","1","2368","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","44239","0.0-2.0-2.0-0.4","6105e13dc0f11571c132344e","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","47618","0.0-2.0-2.0-1.4","6105e13dc0f11571c132344e","F1","batch6","spm_respsonse","3367","img/question_1_5.jpeg","5","mat_05","6","1","1","3367","","","","","","","","","","","","","","","","","","","","",""
