"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","2501","0.0-0.0","610ec37ea0648de28b37fb83","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","6775","0.0-1.0-0.0","610ec37ea0648de28b37fb83","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","14996","0.0-2.0-0.0","610ec37ea0648de28b37fb83","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","63440","0.0-2.0-1.0-0.0","610ec37ea0648de28b37fb83","C3","batch3","[{""page_index"":0,""viewing_time"":42959.5},{""page_index"":1,""viewing_time"":5481.5}]","48441.699999928474","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","66556","0.0-2.0-1.0-1.0-0.0","610ec37ea0648de28b37fb83","C3","batch3","","3114.0999999046326","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","69794","0.0-2.0-1.0-1.0-1.0","610ec37ea0648de28b37fb83","C3","batch3","","3236.6999999284744","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","73590","0.0-2.0-1.0-1.0-2.0","610ec37ea0648de28b37fb83","C3","batch3","","3793.8000000715256","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","91737","0.0-2.0-1.0-1.0-3.0","610ec37ea0648de28b37fb83","C3","batch3","","18145.5","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","93251","0.0-2.0-1.0-1.0-4.0","610ec37ea0648de28b37fb83","C3","batch3","","1512.2000000476837","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","108318","0.0-2.0-2.0","610ec37ea0648de28b37fb83","C3","batch3","","15065.100000023842","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","115034","0.0-2.0-3.0-0.0","610ec37ea0648de28b37fb83","C3","batch3","","6712.5","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","116045","0.0-2.0-3.0-1.0","610ec37ea0648de28b37fb83","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","117917","0.0-2.0-3.0-0.1","610ec37ea0648de28b37fb83","C3","batch3","","1870.6000000238419","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
