"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","8120","0.0-0.0","61112e5f99facb9056c5e6ba","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","26485","0.0-1.0-0.0","61112e5f99facb9056c5e6ba","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","30047","0.0-2.0-0.0","61112e5f99facb9056c5e6ba","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","42860","0.0-2.0-1.0-0.0","61112e5f99facb9056c5e6ba","A3","batch1","[{""page_index"":0,""viewing_time"":8746.09999999404},{""page_index"":1,""viewing_time"":4063.7000000029802}]","12810.29999999702","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","43987","0.0-2.0-1.0-1.0-0.0","61112e5f99facb9056c5e6ba","A3","batch1","","1124.800000011921","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","45421","0.0-2.0-1.0-1.0-1.0","61112e5f99facb9056c5e6ba","A3","batch1","","1430.5","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","46604","0.0-2.0-1.0-1.0-2.0","61112e5f99facb9056c5e6ba","A3","batch1","","1180.7999999970198","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","50481","0.0-2.0-1.0-1.0-3.0","61112e5f99facb9056c5e6ba","A3","batch1","","3874.199999988079","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","51278","0.0-2.0-1.0-1.0-4.0","61112e5f99facb9056c5e6ba","A3","batch1","","794.6999999880791","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","52779","0.0-2.0-2.0","61112e5f99facb9056c5e6ba","A3","batch1","","1498.0999999940395","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
