"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","7271","0.0-0.0","6112b593ca1b683da02678d3","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","16838","0.0-1.0-0.0","6112b593ca1b683da02678d3","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","68442","0.0-2.0-0.0","6112b593ca1b683da02678d3","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","76240","0.0-2.0-1.0","6112b593ca1b683da02678d3","E1","batch5","","7793.699999809265","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","77048","0.0-2.0-2.0-0.0","6112b593ca1b683da02678d3","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","86663","0.0-2.0-2.0-1.0","6112b593ca1b683da02678d3","E1","batch5","spm_respsonse","9604.900000095367","img/question_1_1.jpeg","3","mat_01","4","1","1","9604.900000095367","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","87734","0.0-2.0-2.0-0.1","6112b593ca1b683da02678d3","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","95915","0.0-2.0-2.0-1.1","6112b593ca1b683da02678d3","E1","batch5","spm_respsonse","8176.199999809265","img/question_1_2.jpeg","4","mat_02","5","1","1","8176.199999809265","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","96990","0.0-2.0-2.0-0.2","6112b593ca1b683da02678d3","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","106483","0.0-2.0-2.0-1.2","6112b593ca1b683da02678d3","E1","batch5","spm_respsonse","9488.800000190735","img/question_1_3.jpeg","0","mat_03","1","1","1","9488.800000190735","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","107554","0.0-2.0-2.0-0.3","6112b593ca1b683da02678d3","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","113101","0.0-2.0-2.0-1.3","6112b593ca1b683da02678d3","E1","batch5","spm_respsonse","5541.800000190735","img/question_1_4.jpeg","1","mat_04","2","1","1","5541.800000190735","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","114182","0.0-2.0-2.0-0.4","6112b593ca1b683da02678d3","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","123663","0.0-2.0-2.0-1.4","6112b593ca1b683da02678d3","E1","batch5","spm_respsonse","9475.599999904633","img/question_1_5.jpeg","5","mat_05","6","1","1","9475.599999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","124734","0.0-2.0-2.0-0.5","6112b593ca1b683da02678d3","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","130638","0.0-2.0-2.0-1.5","6112b593ca1b683da02678d3","E1","batch5","spm_respsonse","5899.099999904633","img/question_1_6.jpeg","2","mat_06","3","1","1","5899.099999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","131705","0.0-2.0-2.0-0.6","6112b593ca1b683da02678d3","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","137163","0.0-2.0-2.0-1.6","6112b593ca1b683da02678d3","E1","batch5","spm_respsonse","5452.199999809265","img/question_1_7.jpeg","5","mat_07","6","1","1","5452.199999809265","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","138223","0.0-2.0-2.0-0.7","6112b593ca1b683da02678d3","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","144034","0.0-2.0-2.0-1.7","6112b593ca1b683da02678d3","E1","batch5","spm_respsonse","5804.599999904633","img/question_1_8.jpeg","1","mat_08","2","1","1","5804.599999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","145106","0.0-2.0-2.0-0.8","6112b593ca1b683da02678d3","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
