"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","2198","0.0-0.0","6113f79b1578d1c4f555e65a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","19795","0.0-1.0-0.0","6113f79b1578d1c4f555e65a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","24722","0.0-2.0-0.0","6113f79b1578d1c4f555e65a","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","59415","0.0-2.0-1.0-0.0","6113f79b1578d1c4f555e65a","C3","batch3","[{""page_index"":0,""viewing_time"":29458},{""page_index"":1,""viewing_time"":5233}]","34691.40000003576","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","61462","0.0-2.0-1.0-1.0-0.0","6113f79b1578d1c4f555e65a","C3","batch3","","2045.1000000238419","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","64321","0.0-2.0-1.0-1.0-1.0","6113f79b1578d1c4f555e65a","C3","batch3","","2857","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","65279","0.0-2.0-1.0-1.0-2.0","6113f79b1578d1c4f555e65a","C3","batch3","","955.4000000357628","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","70005","0.0-2.0-1.0-1.0-3.0","6113f79b1578d1c4f555e65a","C3","batch3","","4724.399999976158","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","70933","0.0-2.0-1.0-1.0-4.0","6113f79b1578d1c4f555e65a","C3","batch3","","926.2999999523163","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","72792","0.0-2.0-2.0","6113f79b1578d1c4f555e65a","C3","batch3","","1856.199999988079","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","74932","0.0-2.0-3.0-0.0","6113f79b1578d1c4f555e65a","C3","batch3","","2121.100000023842","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","75939","0.0-2.0-3.0-1.0","6113f79b1578d1c4f555e65a","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","76997","0.0-2.0-3.0-0.1","6113f79b1578d1c4f555e65a","C3","batch3","","1056.2999999523163","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","78003","0.0-2.0-3.0-1.1","6113f79b1578d1c4f555e65a","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","78910","0.0-2.0-3.0-0.2","6113f79b1578d1c4f555e65a","C3","batch3","","905","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","79915","0.0-2.0-3.0-1.2","6113f79b1578d1c4f555e65a","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","80755","0.0-2.0-3.0-0.3","6113f79b1578d1c4f555e65a","C3","batch3","","837.6999999880791","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","81763","0.0-2.0-3.0-1.3","6113f79b1578d1c4f555e65a","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","82570","0.0-2.0-3.0-0.4","6113f79b1578d1c4f555e65a","C3","batch3","","805.5999999642372","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","83579","0.0-2.0-3.0-1.4","6113f79b1578d1c4f555e65a","C3","batch3","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
