"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1243","0.0-0.0","611b1f8d65d3749d42e746c2","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","5074","0.0-1.0-0.0","611b1f8d65d3749d42e746c2","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","7183","0.0-2.0-0.0","611b1f8d65d3749d42e746c2","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","9321","0.0-2.0-1.0","611b1f8d65d3749d42e746c2","D2","batch4","","2136.1999999955297","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","10124","0.0-2.0-2.0-0.0","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","14170","0.0-2.0-2.0-1.0","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","4035.39999999851","img/question_1_1.jpeg","3","mat_01","4","1","1","4035.39999999851","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","15222","0.0-2.0-2.0-0.1","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","18715","0.0-2.0-2.0-1.1","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","3490.39999999851","img/question_1_2.jpeg","4","mat_02","5","1","1","3490.39999999851","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","19772","0.0-2.0-2.0-0.2","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","21673","0.0-2.0-2.0-1.2","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","1899.1000000014901","img/question_1_3.jpeg","0","mat_03","1","1","1","1899.1000000014901","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","22749","0.0-2.0-2.0-0.3","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","25521","0.0-2.0-2.0-1.3","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","2770.3000000044703","img/question_1_4.jpeg","1","mat_04","2","1","1","2770.3000000044703","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","26586","0.0-2.0-2.0-0.4","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","28699","0.0-2.0-2.0-1.4","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","2111.7999999970198","img/question_1_5.jpeg","5","mat_05","6","1","1","2111.7999999970198","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","29753","0.0-2.0-2.0-0.5","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","31965","0.0-2.0-2.0-1.5","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","2209.4000000059605","img/question_1_6.jpeg","2","mat_06","3","1","1","2209.4000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","33032","0.0-2.0-2.0-0.6","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","36137","0.0-2.0-2.0-1.6","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","3102.5","img/question_1_7.jpeg","5","mat_07","6","1","1","3102.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","37189","0.0-2.0-2.0-0.7","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","39353","0.0-2.0-2.0-1.7","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","2161.7999999970198","img/question_1_8.jpeg","1","mat_08","2","1","1","2161.7999999970198","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","40415","0.0-2.0-2.0-0.8","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","43331","0.0-2.0-2.0-1.8","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","2910.89999999851","img/question_1_9.jpeg","0","mat_09","1","1","1","2910.89999999851","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","44400","0.0-2.0-2.0-0.9","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","47425","0.0-2.0-2.0-1.9","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","3023.4000000059605","img/question_1_10.jpeg","2","mat_10","3","1","1","3023.4000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","48483","0.0-2.0-2.0-0.10","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","55834","0.0-2.0-2.0-1.10","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","7348.89999999851","img/question_1_11.jpeg","3","mat_11","4","1","1","7348.89999999851","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","56886","0.0-2.0-2.0-0.11","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","63657","0.0-2.0-2.0-1.11","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","6768.39999999851","img/question_1_12.jpeg","4","mat_12","5","1","1","6768.39999999851","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","64713","0.0-2.0-2.0-0.12","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","67849","0.0-2.0-2.0-1.12","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","3132.4000000059605","img/question_2_1.jpeg","1","mat_13","2","1","1","3132.4000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","68920","0.0-2.0-2.0-0.13","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","73401","0.0-2.0-2.0-1.13","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","4478.69999999553","img/question_2_2.jpeg","5","mat_14","6","1","1","4478.69999999553","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","74452","0.0-2.0-2.0-0.14","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","79888","0.0-2.0-2.0-1.14","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","5434","img/question_2_3.jpeg","2","mat_15","1","0","0","5434","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","80963","0.0-2.0-2.0-0.15","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","90456","0.0-2.0-2.0-1.15","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","9490.60000000149","img/question_2_4.jpeg","1","mat_16","2","1","1","9490.60000000149","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","91531","0.0-2.0-2.0-0.16","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","95385","0.0-2.0-2.0-1.16","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","3850.5","img/question_2_5.jpeg","0","mat_17","1","1","1","3850.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","96439","0.0-2.0-2.0-0.17","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","100873","0.0-2.0-2.0-1.17","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","4431.60000000149","img/question_2_6.jpeg","2","mat_18","3","1","1","4431.60000000149","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","101940","0.0-2.0-2.0-0.18","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","108992","0.0-2.0-2.0-1.18","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","7050.60000000149","img/question_2_7.jpeg","4","mat_19","5","1","1","7050.60000000149","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","110071","0.0-2.0-2.0-0.19","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","121873","0.0-2.0-2.0-1.19","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","11799.79999999702","img/question_2_8.jpeg","5","mat_20","6","1","1","11799.79999999702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","122934","0.0-2.0-2.0-0.20","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","128116","0.0-2.0-2.0-1.20","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","5179.70000000298","img/question_2_9.jpeg","3","mat_21","4","1","1","5179.70000000298","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","129185","0.0-2.0-2.0-0.21","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","145625","0.0-2.0-2.0-1.21","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","16437.09999999404","img/question_2_10.jpeg","2","mat_22","3","1","1","16437.09999999404","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","146694","0.0-2.0-2.0-0.22","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","156657","0.0-2.0-2.0-1.22","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","9954.89999999851","img/question_2_11.jpeg","3","mat_23","4","1","1","9954.89999999851","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","157732","0.0-2.0-2.0-0.23","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","51","180976","0.0-2.0-2.0-1.23","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","23241","img/question_2_12.jpeg","4","mat_24","5","1","1","23241","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","52","183457","0.0-2.0-3.0","611b1f8d65d3749d42e746c2","D2","batch4","attention_check","2227.2999999970198","<p class = block-text>Attention check: Please choose 1<br></p>","0","","","true","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","184257","0.0-2.0-4.0-0.0","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 25 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","54","186482","0.0-2.0-4.0-1.0","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","2221.89999999851","img/question_3_1.jpeg","7","mat_25","8","1","1","2221.89999999851","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","187552","0.0-2.0-4.0-0.1","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 26 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","56","194137","0.0-2.0-4.0-1.1","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","6583.5","img/question_3_2.jpeg","1","mat_26","2","1","1","6583.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","195193","0.0-2.0-4.0-0.2","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 27 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","58","203634","0.0-2.0-4.0-1.2","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","8439.30000000447","img/question_3_3.jpeg","2","mat_27","3","1","1","8439.30000000447","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","204691","0.0-2.0-4.0-0.3","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 28 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","60","208129","0.0-2.0-4.0-1.3","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","3434.5","img/question_3_4.jpeg","7","mat_28","8","1","1","3434.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","61","209184","0.0-2.0-4.0-0.4","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 29 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","62","213251","0.0-2.0-4.0-1.4","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","4063.89999999851","img/question_3_5.jpeg","6","mat_29","7","1","1","4063.89999999851","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","63","214303","0.0-2.0-4.0-0.5","611b1f8d65d3749d42e746c2","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 30 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","64","218897","0.0-2.0-4.0-1.5","611b1f8d65d3749d42e746c2","D2","batch4","spm_respsonse","4591.5","img/question_3_6.jpeg","3","mat_30","4","1","1","4591.5","","","","","","","","","","","","","","","","","","","","",""
