"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","2989","0.0-0.0","611d7da2640a2e31818c3e18","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9800","0.0-1.0-0.0","611d7da2640a2e31818c3e18","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","12755","0.0-2.0-0.0","611d7da2640a2e31818c3e18","F1","batch6","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","22918","0.0-2.0-1.0","611d7da2640a2e31818c3e18","F1","batch6","","10161.300000011921","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","23730","0.0-2.0-2.0-0.0","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","30985","0.0-2.0-2.0-1.0","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","7248.900000035763","img/question_1_1.jpeg","3","mat_01","4","1","1","7248.900000035763","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","32050","0.0-2.0-2.0-0.1","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","37325","0.0-2.0-2.0-1.1","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","5272.699999988079","img/question_1_2.jpeg","4","mat_02","5","1","1","5272.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","38395","0.0-2.0-2.0-0.2","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","41741","0.0-2.0-2.0-1.2","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","3343.2000000476837","img/question_1_3.jpeg","0","mat_03","1","1","1","3343.2000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","42807","0.0-2.0-2.0-0.3","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","45855","0.0-2.0-2.0-1.3","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","3045.2999999523163","img/question_1_4.jpeg","1","mat_04","2","1","1","3045.2999999523163","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","46925","0.0-2.0-2.0-0.4","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","50615","0.0-2.0-2.0-1.4","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","3688.5","img/question_1_5.jpeg","5","mat_05","6","1","1","3688.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","51684","0.0-2.0-2.0-0.5","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","55100","0.0-2.0-2.0-1.5","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","3414.5","img/question_1_6.jpeg","2","mat_06","3","1","1","3414.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","56182","0.0-2.0-2.0-0.6","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","59747","0.0-2.0-2.0-1.6","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","3563.5","img/question_1_7.jpeg","5","mat_07","6","1","1","3563.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","60827","0.0-2.0-2.0-0.7","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","66760","0.0-2.0-2.0-1.7","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","5931.300000011921","img/question_1_8.jpeg","1","mat_08","2","1","1","5931.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","67838","0.0-2.0-2.0-0.8","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","74160","0.0-2.0-2.0-1.8","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","6319.599999964237","img/question_1_9.jpeg","0","mat_09","1","1","1","6319.599999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","75229","0.0-2.0-2.0-0.9","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","80776","0.0-2.0-2.0-1.9","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","5545.699999988079","img/question_1_10.jpeg","2","mat_10","3","1","1","5545.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","81842","0.0-2.0-2.0-0.10","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","97982","0.0-2.0-2.0-1.10","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","16137.300000011921","img/question_1_11.jpeg","3","mat_11","4","1","1","16137.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","99049","0.0-2.0-2.0-0.11","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","111695","0.0-2.0-2.0-1.11","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","12643.099999964237","img/question_1_12.jpeg","4","mat_12","5","1","1","12643.099999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","112762","0.0-2.0-2.0-0.12","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","128824","0.0-2.0-2.0-1.12","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","16059.699999988079","img/question_2_1.jpeg","1","mat_13","2","1","1","16059.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","129903","0.0-2.0-2.0-0.13","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","142675","0.0-2.0-2.0-1.13","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","12768.5","img/question_2_2.jpeg","5","mat_14","6","1","1","12768.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","143742","0.0-2.0-2.0-0.14","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","147841","0.0-2.0-2.0-1.14","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","4096.200000047684","img/question_2_3.jpeg","0","mat_15","1","1","1","4096.200000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","148907","0.0-2.0-2.0-0.15","611d7da2640a2e31818c3e18","F1","batch6","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","153826","0.0-2.0-2.0-1.15","611d7da2640a2e31818c3e18","F1","batch6","spm_respsonse","4917.199999988079","img/question_2_4.jpeg","1","mat_16","2","1","1","4917.199999988079","","","","","","","","","","","","","","","","","","","","",""
