"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","18503","0.0-0.0","612517df29cd32c6632b4a44","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","30858","0.0-1.0-0.0","612517df29cd32c6632b4a44","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","35134","0.0-2.0-0.0","612517df29cd32c6632b4a44","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","45910","0.0-2.0-1.0","612517df29cd32c6632b4a44","C3","batch3","","10771.70000000298","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","46721","0.0-2.0-2.0-0.0","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","51315","0.0-2.0-2.0-1.0","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","4584.79999999702","img/question_1_1.jpeg","3","mat_01","4","1","1","4584.79999999702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","52371","0.0-2.0-2.0-0.1","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","57309","0.0-2.0-2.0-1.1","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","4934.29999999702","img/question_1_2.jpeg","4","mat_02","5","1","1","4934.29999999702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","58369","0.0-2.0-2.0-0.2","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","63534","0.0-2.0-2.0-1.2","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","5159.800000011921","img/question_1_3.jpeg","0","mat_03","1","1","1","5159.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","64596","0.0-2.0-2.0-0.3","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","68486","0.0-2.0-2.0-1.3","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","3885.699999988079","img/question_1_4.jpeg","1","mat_04","2","1","1","3885.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","69564","0.0-2.0-2.0-0.4","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","73118","0.0-2.0-2.0-1.4","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","3550.7000000029802","img/question_1_5.jpeg","5","mat_05","6","1","1","3550.7000000029802","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","74184","0.0-2.0-2.0-0.5","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","77134","0.0-2.0-2.0-1.5","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","2948.2000000029802","img/question_1_6.jpeg","2","mat_06","3","1","1","2948.2000000029802","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","78203","0.0-2.0-2.0-0.6","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","83416","0.0-2.0-2.0-1.6","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","5210.5","img/question_1_7.jpeg","5","mat_07","6","1","1","5210.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","84491","0.0-2.0-2.0-0.7","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","89638","0.0-2.0-2.0-1.7","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","5142.0999999940395","img/question_1_8.jpeg","1","mat_08","2","1","1","5142.0999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","90713","0.0-2.0-2.0-0.8","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","95153","0.0-2.0-2.0-1.8","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","4436.5","img/question_1_9.jpeg","0","mat_09","1","1","1","4436.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","96216","0.0-2.0-2.0-0.9","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","101076","0.0-2.0-2.0-1.9","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","4856","img/question_1_10.jpeg","2","mat_10","3","1","1","4856","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","102154","0.0-2.0-2.0-0.10","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","111503","0.0-2.0-2.0-1.10","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","9344.20000000298","img/question_1_11.jpeg","3","mat_11","4","1","1","9344.20000000298","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","112578","0.0-2.0-2.0-0.11","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","120349","0.0-2.0-2.0-1.11","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","7766.5999999940395","img/question_1_12.jpeg","0","mat_12","5","0","0","7766.5999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","121418","0.0-2.0-2.0-0.12","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","123951","0.0-2.0-2.0-1.12","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","2529.2999999970198","img/question_2_1.jpeg","1","mat_13","2","1","1","2529.2999999970198","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","125022","0.0-2.0-2.0-0.13","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","130584","0.0-2.0-2.0-1.13","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","5557.79999999702","img/question_2_2.jpeg","5","mat_14","6","1","1","5557.79999999702","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","131659","0.0-2.0-2.0-0.14","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","134506","0.0-2.0-2.0-1.14","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","2842.7000000029802","img/question_2_3.jpeg","0","mat_15","1","1","1","2842.7000000029802","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","135579","0.0-2.0-2.0-0.15","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","140302","0.0-2.0-2.0-1.15","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","4719.300000011921","img/question_2_4.jpeg","1","mat_16","2","1","1","4719.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","141367","0.0-2.0-2.0-0.16","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","146682","0.0-2.0-2.0-1.16","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","5310.5999999940395","img/question_2_5.jpeg","0","mat_17","1","1","1","5310.5999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","147754","0.0-2.0-2.0-0.17","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","156935","0.0-2.0-2.0-1.17","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","9176.39999999106","img/question_2_6.jpeg","2","mat_18","3","1","1","9176.39999999106","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","158012","0.0-2.0-2.0-0.18","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","176588","0.0-2.0-2.0-1.18","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","18571.10000000894","img/question_2_7.jpeg","4","mat_19","5","1","1","18571.10000000894","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","177661","0.0-2.0-2.0-0.19","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","186213","0.0-2.0-2.0-1.19","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","8547.60000000894","img/question_2_8.jpeg","5","mat_20","6","1","1","8547.60000000894","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","187284","0.0-2.0-2.0-0.20","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","190231","0.0-2.0-2.0-1.20","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","2942.6000000089407","img/question_2_9.jpeg","3","mat_21","4","1","1","2942.6000000089407","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","191304","0.0-2.0-2.0-0.21","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","196211","0.0-2.0-2.0-1.21","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","4901","img/question_2_10.jpeg","2","mat_22","3","1","1","4901","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","197274","0.0-2.0-2.0-0.22","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","201634","0.0-2.0-2.0-1.22","612517df29cd32c6632b4a44","C3","batch3","spm_respsonse","4355.0999999940395","img/question_2_11.jpeg","3","mat_23","4","1","1","4355.0999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","202712","0.0-2.0-2.0-0.23","612517df29cd32c6632b4a44","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
