"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","5772","0.0-0.0","61364739837a69353c38284a","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","65878","0.0-1.0-0.0","61364739837a69353c38284a","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","69623","0.0-2.0-0.0","61364739837a69353c38284a","A3","batch1","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","99985","0.0-2.0-1.0","61364739837a69353c38284a","A3","batch1","","30360.79999998212","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","100786","0.0-2.0-2.0-0.0","61364739837a69353c38284a","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","107208","0.0-2.0-2.0-1.0","61364739837a69353c38284a","A3","batch1","spm_respsonse","6408.5999999940395","img/question_1_1.jpeg","3","mat_01","4","1","1","6408.5999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","108268","0.0-2.0-2.0-0.1","61364739837a69353c38284a","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","112591","0.0-2.0-2.0-1.1","61364739837a69353c38284a","A3","batch1","spm_respsonse","4321.5","img/question_1_2.jpeg","4","mat_02","5","1","1","4321.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","113653","0.0-2.0-2.0-0.2","61364739837a69353c38284a","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","117351","0.0-2.0-2.0-1.2","61364739837a69353c38284a","A3","batch1","spm_respsonse","3695.5999999940395","img/question_1_3.jpeg","0","mat_03","1","1","1","3695.5999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","118411","0.0-2.0-2.0-0.3","61364739837a69353c38284a","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","121906","0.0-2.0-2.0-1.3","61364739837a69353c38284a","A3","batch1","spm_respsonse","3493.9000000059605","img/question_1_4.jpeg","1","mat_04","2","1","1","3493.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","122977","0.0-2.0-2.0-0.4","61364739837a69353c38284a","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","126649","0.0-2.0-2.0-1.4","61364739837a69353c38284a","A3","batch1","spm_respsonse","3670.2999999821186","img/question_1_5.jpeg","5","mat_05","6","1","1","3670.2999999821186","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","127717","0.0-2.0-2.0-0.5","61364739837a69353c38284a","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","132548","0.0-2.0-2.0-1.5","61364739837a69353c38284a","A3","batch1","spm_respsonse","4828.9000000059605","img/question_1_6.jpeg","2","mat_06","3","1","1","4828.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","133612","0.0-2.0-2.0-0.6","61364739837a69353c38284a","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","138350","0.0-2.0-2.0-1.6","61364739837a69353c38284a","A3","batch1","spm_respsonse","4737","img/question_1_7.jpeg","5","mat_07","6","1","1","4737","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","139421","0.0-2.0-2.0-0.7","61364739837a69353c38284a","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","146687","0.0-2.0-2.0-1.7","61364739837a69353c38284a","A3","batch1","spm_respsonse","7264.300000011921","img/question_1_8.jpeg","1","mat_08","2","1","1","7264.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","147755","0.0-2.0-2.0-0.8","61364739837a69353c38284a","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
