"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","997","0.0-0.0","61451e21a303bee08cbb86ea","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","20756","0.0-1.0-0.0","61451e21a303bee08cbb86ea","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","25944","0.0-2.0-0.0","61451e21a303bee08cbb86ea","B2","batch2","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","48977","0.0-2.0-1.0","61451e21a303bee08cbb86ea","B2","batch2","","23032.09999999404","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","49778","0.0-2.0-2.0-0.0","61451e21a303bee08cbb86ea","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","61209","0.0-2.0-2.0-1.0","61451e21a303bee08cbb86ea","B2","batch2","spm_respsonse","11427.300000011921","img/question_1_1.jpeg","5","mat_01","4","0","0","11427.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","62261","0.0-2.0-2.0-0.1","61451e21a303bee08cbb86ea","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","68161","0.0-2.0-2.0-1.1","61451e21a303bee08cbb86ea","B2","batch2","spm_respsonse","5898.5","img/question_1_2.jpeg","4","mat_02","5","1","1","5898.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","69213","0.0-2.0-2.0-0.2","61451e21a303bee08cbb86ea","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","75950","0.0-2.0-2.0-1.2","61451e21a303bee08cbb86ea","B2","batch2","spm_respsonse","6735.399999976158","img/question_1_3.jpeg","0","mat_03","1","1","1","6735.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","77002","0.0-2.0-2.0-0.3","61451e21a303bee08cbb86ea","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","87640","0.0-2.0-2.0-1.3","61451e21a303bee08cbb86ea","B2","batch2","spm_respsonse","10635.899999976158","img/question_1_4.jpeg","1","mat_04","2","1","1","10635.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","88692","0.0-2.0-2.0-0.4","61451e21a303bee08cbb86ea","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","97142","0.0-2.0-2.0-1.4","61451e21a303bee08cbb86ea","B2","batch2","spm_respsonse","8448.100000023842","img/question_1_5.jpeg","5","mat_05","6","1","1","8448.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","98193","0.0-2.0-2.0-0.5","61451e21a303bee08cbb86ea","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","111727","0.0-2.0-2.0-1.5","61451e21a303bee08cbb86ea","B2","batch2","spm_respsonse","13532.40000000596","img/question_1_6.jpeg","2","mat_06","3","1","1","13532.40000000596","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","112780","0.0-2.0-2.0-0.6","61451e21a303bee08cbb86ea","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
