"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","8557","0.0-0.0","615081c7ccbaea1db00d8e0c","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","165050","0.0-1.0-0.0","615081c7ccbaea1db00d8e0c","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","169237","0.0-2.0-0.0","615081c7ccbaea1db00d8e0c","E1","batch5","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","181527","0.0-2.0-1.0","615081c7ccbaea1db00d8e0c","E1","batch5","","12288.100000023842","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","182334","0.0-2.0-2.0-0.0","615081c7ccbaea1db00d8e0c","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","205660","0.0-2.0-2.0-1.0","615081c7ccbaea1db00d8e0c","E1","batch5","spm_respsonse","23323.100000023842","img/question_1_1.jpeg","3","mat_01","4","1","1","23323.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","206741","0.0-2.0-2.0-0.1","615081c7ccbaea1db00d8e0c","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","210576","0.0-2.0-2.0-1.1","615081c7ccbaea1db00d8e0c","E1","batch5","spm_respsonse","3833.600000023842","img/question_1_2.jpeg","4","mat_02","5","1","1","3833.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","211645","0.0-2.0-2.0-0.2","615081c7ccbaea1db00d8e0c","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","216604","0.0-2.0-2.0-1.2","615081c7ccbaea1db00d8e0c","E1","batch5","spm_respsonse","4956.600000023842","img/question_1_3.jpeg","0","mat_03","1","1","1","4956.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","217684","0.0-2.0-2.0-0.3","615081c7ccbaea1db00d8e0c","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","220298","0.0-2.0-2.0-1.3","615081c7ccbaea1db00d8e0c","E1","batch5","spm_respsonse","2611.600000023842","img/question_1_4.jpeg","1","mat_04","2","1","1","2611.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","221355","0.0-2.0-2.0-0.4","615081c7ccbaea1db00d8e0c","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","224957","0.0-2.0-2.0-1.4","615081c7ccbaea1db00d8e0c","E1","batch5","spm_respsonse","3599.399999976158","img/question_1_5.jpeg","5","mat_05","6","1","1","3599.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","226028","0.0-2.0-2.0-0.5","615081c7ccbaea1db00d8e0c","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","231435","0.0-2.0-2.0-1.5","615081c7ccbaea1db00d8e0c","E1","batch5","spm_respsonse","5405.399999976158","img/question_1_6.jpeg","2","mat_06","3","1","1","5405.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","232518","0.0-2.0-2.0-0.6","615081c7ccbaea1db00d8e0c","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","236949","0.0-2.0-2.0-1.6","615081c7ccbaea1db00d8e0c","E1","batch5","spm_respsonse","4429.299999952316","img/question_1_7.jpeg","5","mat_07","6","1","1","4429.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","238006","0.0-2.0-2.0-0.7","615081c7ccbaea1db00d8e0c","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","241531","0.0-2.0-2.0-1.7","615081c7ccbaea1db00d8e0c","E1","batch5","spm_respsonse","3522.7000000476837","img/question_1_8.jpeg","1","mat_08","2","1","1","3522.7000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","242607","0.0-2.0-2.0-0.8","615081c7ccbaea1db00d8e0c","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","245403","0.0-2.0-2.0-1.8","615081c7ccbaea1db00d8e0c","E1","batch5","spm_respsonse","2794.2000000476837","img/question_1_9.jpeg","0","mat_09","1","1","1","2794.2000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","246480","0.0-2.0-2.0-0.9","615081c7ccbaea1db00d8e0c","E1","batch5","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","260871","0.0-2.0-2.0-1.9","615081c7ccbaea1db00d8e0c","E1","batch5","spm_respsonse","14388.600000023842","img/question_1_10.jpeg","2","mat_10","3","1","1","14388.600000023842","","","","","","","","","","","","","","","","","","","","",""
