"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1705","0.0-0.0","615224b6fec95dfc43439c28","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","16279","0.0-1.0-0.0","615224b6fec95dfc43439c28","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","21292","0.0-2.0-0.0","615224b6fec95dfc43439c28","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","110854","0.0-2.0-1.0-0.0-0.0","615224b6fec95dfc43439c28","A3","batch1","[{""page_index"":0,""viewing_time"":17083.70000000298},{""page_index"":1,""viewing_time"":9016.40000000596},{""page_index"":2,""viewing_time"":11483.79999999702},{""page_index"":3,""viewing_time"":9673},{""page_index"":4,""viewing_time"":15412.90000000596},{""page_index"":5,""viewing_time"":21922.5},{""page_index"":6,""viewing_time"":4968}]","89560.70000000298","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","112698","0.0-2.0-1.0-1.0-0.0","615224b6fec95dfc43439c28","A3","batch1","","1841.7999999970198","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","118690","0.0-2.0-1.0-1.0-1.0","615224b6fec95dfc43439c28","A3","batch1","","5990.79999999702","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","121518","0.0-2.0-1.0-1.0-2.0","615224b6fec95dfc43439c28","A3","batch1","","2826.7999999970198","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","125423","0.0-2.0-1.0-1.0-3.0","615224b6fec95dfc43439c28","A3","batch1","","3904","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","127104","0.0-2.0-1.0-1.0-4.0","615224b6fec95dfc43439c28","A3","batch1","","1679.0999999940395","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","130901","0.0-2.0-2.0","615224b6fec95dfc43439c28","A3","batch1","","3795.3999999910593","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
