"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","2905","0.0-0.0","6153226d04ed5dce3aaa9703","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7714","0.0-1.0-0.0","6153226d04ed5dce3aaa9703","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","10526","0.0-2.0-0.0","6153226d04ed5dce3aaa9703","B2","batch2","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","22838","0.0-2.0-1.0","6153226d04ed5dce3aaa9703","B2","batch2","","12309.300000000745","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","23643","0.0-2.0-2.0-0.0","6153226d04ed5dce3aaa9703","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","29177","0.0-2.0-2.0-1.0","6153226d04ed5dce3aaa9703","B2","batch2","spm_respsonse","5527.300000000745","img/question_1_1.jpeg","3","mat_01","4","1","1","5527.300000000745","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","30246","0.0-2.0-2.0-0.1","6153226d04ed5dce3aaa9703","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","33733","0.0-2.0-2.0-1.1","6153226d04ed5dce3aaa9703","B2","batch2","spm_respsonse","3483.4000000003725","img/question_1_2.jpeg","4","mat_02","5","1","1","3483.4000000003725","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","34798","0.0-2.0-2.0-0.2","6153226d04ed5dce3aaa9703","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","37094","0.0-2.0-2.0-1.2","6153226d04ed5dce3aaa9703","B2","batch2","spm_respsonse","2292.699999999255","img/question_1_3.jpeg","0","mat_03","1","1","1","2292.699999999255","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","38154","0.0-2.0-2.0-0.3","6153226d04ed5dce3aaa9703","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","42511","0.0-2.0-2.0-1.3","6153226d04ed5dce3aaa9703","B2","batch2","spm_respsonse","4353.5999999996275","img/question_1_4.jpeg","1","mat_04","2","1","1","4353.5999999996275","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","43582","0.0-2.0-2.0-0.4","6153226d04ed5dce3aaa9703","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","48322","0.0-2.0-2.0-1.4","6153226d04ed5dce3aaa9703","B2","batch2","spm_respsonse","4736.5999999996275","img/question_1_5.jpeg","5","mat_05","6","1","1","4736.5999999996275","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","49386","0.0-2.0-2.0-0.5","6153226d04ed5dce3aaa9703","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
