"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","607","0.0-0.0","615eddb82c272bfc2abe6904","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","14706","0.0-1.0-0.0","615eddb82c272bfc2abe6904","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","18152","0.0-2.0-0.0","615eddb82c272bfc2abe6904","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","58933","0.0-2.0-1.0-0.0-0.0","615eddb82c272bfc2abe6904","B2","batch2","[{""page_index"":0,""viewing_time"":10838.900000035763},{""page_index"":1,""viewing_time"":8951.799999952316},{""page_index"":2,""viewing_time"":4173.900000035763},{""page_index"":3,""viewing_time"":5812.099999964237},{""page_index"":4,""viewing_time"":5850},{""page_index"":5,""viewing_time"":2546},{""page_index"":6,""viewing_time"":2608.100000023842}]","40781","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","60062","0.0-2.0-1.0-1.0-0.0","615eddb82c272bfc2abe6904","B2","batch2","","1127.4000000357628","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","64267","0.0-2.0-1.0-1.0-1.0","615eddb82c272bfc2abe6904","B2","batch2","","4205.100000023842","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","66300","0.0-2.0-1.0-1.0-2.0","615eddb82c272bfc2abe6904","B2","batch2","","2032.1000000238419","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","70262","0.0-2.0-1.0-1.0-3.0","615eddb82c272bfc2abe6904","B2","batch2","","3961.600000023842","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","70883","0.0-2.0-1.0-1.0-4.0","615eddb82c272bfc2abe6904","B2","batch2","","620.1000000238419","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","72181","0.0-2.0-2.0","615eddb82c272bfc2abe6904","B2","batch2","","1297.199999988079","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","75389","0.0-2.0-3.0-0.0","615eddb82c272bfc2abe6904","B2","batch2","","3206","tol_practice","","","","tol_peg_2","3206","3206","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3206","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","77112","0.0-2.0-3.0-1.0","615eddb82c272bfc2abe6904","B2","batch2","","1723","tol_practice","","","","tol_peg_3","1723","1723","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1723","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","78114","0.0-2.0-4.0","615eddb82c272bfc2abe6904","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","81697","0.0-2.0-5.0-0.0","615eddb82c272bfc2abe6904","B2","batch2","","3583","tol_practice","","","","tol_peg_1","3583","3583","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","3583","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","82632","0.0-2.0-5.0-1.0","615eddb82c272bfc2abe6904","B2","batch2","","934","tol_practice","","","","tol_peg_3","934","934","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","934","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","83317","0.0-2.0-5.1-0.1","615eddb82c272bfc2abe6904","B2","batch2","","684","tol_practice","","","","tol_peg_1","684","684","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","684","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","83819","0.0-2.0-5.1-1.1","615eddb82c272bfc2abe6904","B2","batch2","","501","tol_practice","","","","tol_peg_2","501","501","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","501","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","84832","0.0-2.0-6.0","615eddb82c272bfc2abe6904","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","87509","0.0-2.0-7.0-0.0","615eddb82c272bfc2abe6904","B2","batch2","","2676","tol_practice","","","","tol_peg_2","2676","2676","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","2676","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","88368","0.0-2.0-7.0-1.0","615eddb82c272bfc2abe6904","B2","batch2","","859","tol_practice","","","","tol_peg_3","859","859","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","859","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","88932","0.0-2.0-7.1-0.1","615eddb82c272bfc2abe6904","B2","batch2","","563","tol_practice","","","","tol_peg_1","563","563","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","563","","","","","","","","","","","","","","",""
