"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","13711","0.0-0.0","616870f3f5785e447dd90a2f","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","27408","0.0-1.0-0.0","616870f3f5785e447dd90a2f","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","30417","0.0-2.0-0.0","616870f3f5785e447dd90a2f","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","50354","0.0-2.0-1.0-0.0","616870f3f5785e447dd90a2f","C3","batch3","[{""page_index"":0,""viewing_time"":14462.39999999851},{""page_index"":1,""viewing_time"":5472.70000000298}]","19935.29999999702","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","51694","0.0-2.0-1.0-1.0-0.0","616870f3f5785e447dd90a2f","C3","batch3","","1339.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","53921","0.0-2.0-1.0-1.0-1.0","616870f3f5785e447dd90a2f","C3","batch3","","2225.6999999955297","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","55313","0.0-2.0-1.0-1.0-2.0","616870f3f5785e447dd90a2f","C3","batch3","","1390.7000000029802","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","61437","0.0-2.0-1.0-1.0-3.0","616870f3f5785e447dd90a2f","C3","batch3","","6123","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","62547","0.0-2.0-1.0-1.0-4.0","616870f3f5785e447dd90a2f","C3","batch3","","1108.7999999970198","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","63943","0.0-2.0-2.0","616870f3f5785e447dd90a2f","C3","batch3","","1394.1000000014901","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
