"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","9869","0.0-0.0","61bb389740db417c1a138cad","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","38477","0.0-1.0-0.0","61bb389740db417c1a138cad","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","42876","0.0-2.0-0.0","61bb389740db417c1a138cad","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","152424","0.0-2.0-1.0-0.0-0.0","61bb389740db417c1a138cad","C3","batch3","[{""page_index"":0,""viewing_time"":14398.099999904633},{""page_index"":1,""viewing_time"":7287.400000095367},{""page_index"":2,""viewing_time"":24492.299999952316},{""page_index"":3,""viewing_time"":21505.900000095367},{""page_index"":4,""viewing_time"":10703.799999952316},{""page_index"":5,""viewing_time"":14036.400000095367},{""page_index"":6,""viewing_time"":17123.599999904633}]","109547.90000009537","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","153787","0.0-2.0-1.0-1.0-0.0","61bb389740db417c1a138cad","C3","batch3","","1361","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","161389","0.0-2.0-1.0-1.0-1.0","61bb389740db417c1a138cad","C3","batch3","","7600.400000095367","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","163203","0.0-2.0-1.0-1.0-2.0","61bb389740db417c1a138cad","C3","batch3","","1812.7000000476837","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","167299","0.0-2.0-1.0-1.0-3.0","61bb389740db417c1a138cad","C3","batch3","","4095.4000000953674","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","168670","0.0-2.0-1.0-1.0-4.0","61bb389740db417c1a138cad","C3","batch3","","1370.7999999523163","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","171194","0.0-2.0-2.0","61bb389740db417c1a138cad","C3","batch3","","2522","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","175392","0.0-2.0-3.0-0.0","61bb389740db417c1a138cad","C3","batch3","","4196","tol_practice","","","","tol_peg_2","4196","4196","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","4196","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","178523","0.0-2.0-3.0-1.0","61bb389740db417c1a138cad","C3","batch3","","3131","tol_practice","","","","tol_peg_3","3131","3131","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","3131","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","179526","0.0-2.0-4.0","61bb389740db417c1a138cad","C3","batch3","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","186354","0.0-2.0-5.0-0.0","61bb389740db417c1a138cad","C3","batch3","","6828","tol_practice","","","","tol_peg_1","6828","6828","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","6828","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","188117","0.0-2.0-5.0-1.0","61bb389740db417c1a138cad","C3","batch3","","1761","tol_practice","","","","tol_peg_3","1761","1761","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1761","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","189665","0.0-2.0-5.1-0.1","61bb389740db417c1a138cad","C3","batch3","","1546","tol_practice","","","","tol_peg_1","1546","1546","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1546","","","","","","","","","","","","","","",""
