"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","12659","0.0-0.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18920","0.0-1.0-0.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","25180","0.0-2.0-0.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","114773","0.0-2.0-1.0-0.0-0.0","61f2adfaa09e72f23cbaf9da","B2","batch2","[{""page_index"":0,""viewing_time"":16110.799999982119},{""page_index"":1,""viewing_time"":22743.09999999404},{""page_index"":2,""viewing_time"":13164.800000011921},{""page_index"":3,""viewing_time"":14122.09999999404},{""page_index"":4,""viewing_time"":10150.09999999404},{""page_index"":5,""viewing_time"":10289.5},{""page_index"":6,""viewing_time"":3010.5}]","89591.5","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","118286","0.0-2.0-1.0-1.0-0.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","3510.5","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","127992","0.0-2.0-1.0-1.0-1.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","9703.09999999404","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","129940","0.0-2.0-1.0-1.0-2.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","1944.7999999821186","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","135096","0.0-2.0-1.0-1.0-3.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","5153.700000017881","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","136200","0.0-2.0-1.0-1.0-4.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","1101.6000000238419","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","138853","0.0-2.0-2.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","2649.0999999940395","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","142917","0.0-2.0-3.0-0.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","4061","tol_practice","","","","tol_peg_2","4061","4061","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","4061","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","144939","0.0-2.0-3.0-1.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","2020","tol_practice","","","","tol_peg_3","2020","2020","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","2020","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","145945","0.0-2.0-4.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","152389","0.0-2.0-5.0-0.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","6443","tol_practice","","","","tol_peg_1","6443","6443","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","6443","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","153834","0.0-2.0-5.0-1.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","1444","tol_practice","","","","tol_peg_3","1444","1444","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1444","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","155559","0.0-2.0-5.1-0.1","61f2adfaa09e72f23cbaf9da","B2","batch2","","1722","tol_practice","","","","tol_peg_1","1722","1722","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","1722","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","156560","0.0-2.0-5.1-1.1","61f2adfaa09e72f23cbaf9da","B2","batch2","","999","tol_practice","","","","tol_peg_2","999","999","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","999","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","157565","0.0-2.0-6.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","162430","0.0-2.0-7.0-0.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","4863","tol_practice","","","","tol_peg_2","4863","4863","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","4863","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","163613","0.0-2.0-7.0-1.0","61f2adfaa09e72f23cbaf9da","B2","batch2","","1183","tol_practice","","","","tol_peg_3","1183","1183","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","1183","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","164471","0.0-2.0-7.1-0.1","61f2adfaa09e72f23cbaf9da","B2","batch2","","857","tol_practice","","","","tol_peg_1","857","857","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","857","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","165369","0.0-2.0-7.1-1.1","61f2adfaa09e72f23cbaf9da","B2","batch2","","896","tol_practice","","","","tol_peg_2","896","896","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","896","","","","","","","","","","","","","","",""
