"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1085","0.0-0.0","6234a93224a61094ce06a76f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7968","0.0-1.0-0.0","6234a93224a61094ce06a76f","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","10995","0.0-2.0-0.0","6234a93224a61094ce06a76f","D2","batch4","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","21817","0.0-2.0-1.0","6234a93224a61094ce06a76f","D2","batch4","","10820.59999999404","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","22622","0.0-2.0-2.0-0.0","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","27071","0.0-2.0-2.0-1.0","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","4438.800000011921","img/question_1_1.jpeg","3","mat_01","4","1","1","4438.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","28135","0.0-2.0-2.0-0.1","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","30752","0.0-2.0-2.0-1.1","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","2615.300000011921","img/question_1_2.jpeg","4","mat_02","5","1","1","2615.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","31815","0.0-2.0-2.0-0.2","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","35969","0.0-2.0-2.0-1.2","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","4152.4000000059605","img/question_1_3.jpeg","0","mat_03","1","1","1","4152.4000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","37031","0.0-2.0-2.0-0.3","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","39050","0.0-2.0-2.0-1.3","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","2016.5","img/question_1_4.jpeg","1","mat_04","2","1","1","2016.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","40111","0.0-2.0-2.0-0.4","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","43561","0.0-2.0-2.0-1.4","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","3447.800000011921","img/question_1_5.jpeg","5","mat_05","6","1","1","3447.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","44623","0.0-2.0-2.0-0.5","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","48393","0.0-2.0-2.0-1.5","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","3767.5","img/question_1_6.jpeg","2","mat_06","3","1","1","3767.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","49455","0.0-2.0-2.0-0.6","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","55338","0.0-2.0-2.0-1.6","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","5881.700000017881","img/question_1_7.jpeg","5","mat_07","6","1","1","5881.700000017881","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","56399","0.0-2.0-2.0-0.7","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","61815","0.0-2.0-2.0-1.7","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","5414.4000000059605","img/question_1_8.jpeg","1","mat_08","2","1","1","5414.4000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","62879","0.0-2.0-2.0-0.8","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","66616","0.0-2.0-2.0-1.8","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","3734.9000000059605","img/question_1_9.jpeg","0","mat_09","1","1","1","3734.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","67679","0.0-2.0-2.0-0.9","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","73975","0.0-2.0-2.0-1.9","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","6293.4000000059605","img/question_1_10.jpeg","2","mat_10","3","1","1","6293.4000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","75039","0.0-2.0-2.0-0.10","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","85749","0.0-2.0-2.0-1.10","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","10707.399999976158","img/question_1_11.jpeg","3","mat_11","4","1","1","10707.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","86814","0.0-2.0-2.0-0.11","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","108225","0.0-2.0-2.0-1.11","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","21409","img/question_1_12.jpeg","4","mat_12","5","1","1","21409","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","109285","0.0-2.0-2.0-0.12","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","111923","0.0-2.0-2.0-1.12","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","2633.9000000059605","img/question_2_1.jpeg","1","mat_13","2","1","1","2633.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","112992","0.0-2.0-2.0-0.13","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","117551","0.0-2.0-2.0-1.13","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","4557.199999988079","img/question_2_2.jpeg","5","mat_14","6","1","1","4557.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","118613","0.0-2.0-2.0-0.14","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","121577","0.0-2.0-2.0-1.14","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","2961.9000000059605","img/question_2_3.jpeg","0","mat_15","1","1","1","2961.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","122638","0.0-2.0-2.0-0.15","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","125628","0.0-2.0-2.0-1.15","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","2987.800000011921","img/question_2_4.jpeg","1","mat_16","2","1","1","2987.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","126693","0.0-2.0-2.0-0.16","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","132574","0.0-2.0-2.0-1.16","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","5878.9000000059605","img/question_2_5.jpeg","0","mat_17","1","1","1","5878.9000000059605","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","133638","0.0-2.0-2.0-0.17","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","138814","0.0-2.0-2.0-1.17","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","5173.799999982119","img/question_2_6.jpeg","2","mat_18","3","1","1","5173.799999982119","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","139879","0.0-2.0-2.0-0.18","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","144993","0.0-2.0-2.0-1.18","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","5112.5","img/question_2_7.jpeg","4","mat_19","5","1","1","5112.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","146053","0.0-2.0-2.0-0.19","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","152260","0.0-2.0-2.0-1.19","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","6205.399999976158","img/question_2_8.jpeg","5","mat_20","6","1","1","6205.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","153325","0.0-2.0-2.0-0.20","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","45","162230","0.0-2.0-2.0-1.20","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","8902.800000011921","img/question_2_9.jpeg","3","mat_21","4","1","1","8902.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","46","163287","0.0-2.0-2.0-0.21","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 22 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","47","167234","0.0-2.0-2.0-1.21","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","3943.199999988079","img/question_2_10.jpeg","2","mat_22","3","1","1","3943.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","48","168301","0.0-2.0-2.0-0.22","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 23 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","49","175795","0.0-2.0-2.0-1.22","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","7492.0999999940395","img/question_2_11.jpeg","3","mat_23","4","1","1","7492.0999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","50","176861","0.0-2.0-2.0-0.23","6234a93224a61094ce06a76f","D2","batch4","spm_show_trial_num","null","<p class=block-text>Trial 24 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","51","200236","0.0-2.0-2.0-1.23","6234a93224a61094ce06a76f","D2","batch4","spm_respsonse","23373.90000000596","img/question_2_12.jpeg","4","mat_24","5","1","1","23373.90000000596","","","","","","","","","","","","","","","","","","","","",""
