"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","9232","0.0-0.0","6234b670fac1a65a6f832f32","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","37067","0.0-1.0-0.0","6234b670fac1a65a6f832f32","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","42771","0.0-2.0-0.0","6234b670fac1a65a6f832f32","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","62966","0.0-2.0-1.0","6234b670fac1a65a6f832f32","C3","batch3","","20190.700000047684","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","63771","0.0-2.0-2.0-0.0","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","74344","0.0-2.0-2.0-1.0","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","10566.899999976158","img/question_1_1.jpeg","3","mat_01","4","1","1","10566.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","75408","0.0-2.0-2.0-0.1","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","79204","0.0-2.0-2.0-1.1","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","3793","img/question_1_2.jpeg","4","mat_02","5","1","1","3793","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","80265","0.0-2.0-2.0-0.2","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","85068","0.0-2.0-2.0-1.2","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","4800.199999928474","img/question_1_3.jpeg","0","mat_03","1","1","1","4800.199999928474","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","86136","0.0-2.0-2.0-0.3","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","90320","0.0-2.0-2.0-1.3","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","4179.5","img/question_1_4.jpeg","1","mat_04","2","1","1","4179.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","91395","0.0-2.0-2.0-0.4","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","99092","0.0-2.0-2.0-1.4","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","7693.199999928474","img/question_1_5.jpeg","5","mat_05","6","1","1","7693.199999928474","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","100152","0.0-2.0-2.0-0.5","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","105365","0.0-2.0-2.0-1.5","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","5209.600000023842","img/question_1_6.jpeg","2","mat_06","3","1","1","5209.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","106433","0.0-2.0-2.0-0.6","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","113185","0.0-2.0-2.0-1.6","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","6748.799999952316","img/question_1_7.jpeg","5","mat_07","6","1","1","6748.799999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","114244","0.0-2.0-2.0-0.7","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","122512","0.0-2.0-2.0-1.7","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","8266.100000023842","img/question_1_8.jpeg","1","mat_08","2","1","1","8266.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","123591","0.0-2.0-2.0-0.8","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","128750","0.0-2.0-2.0-1.8","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","5156","img/question_1_9.jpeg","0","mat_09","1","1","1","5156","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","129822","0.0-2.0-2.0-0.9","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","137992","0.0-2.0-2.0-1.9","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","8167.300000071526","img/question_1_10.jpeg","2","mat_10","3","1","1","8167.300000071526","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","139055","0.0-2.0-2.0-0.10","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","157459","0.0-2.0-2.0-1.10","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","18400.700000047684","img/question_1_11.jpeg","1","mat_11","4","0","0","18400.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","158520","0.0-2.0-2.0-0.11","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","177585","0.0-2.0-2.0-1.11","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","19062.600000023842","img/question_1_12.jpeg","0","mat_12","5","0","0","19062.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","178643","0.0-2.0-2.0-0.12","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","182470","0.0-2.0-2.0-1.12","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","3822.5999999046326","img/question_2_1.jpeg","1","mat_13","2","1","1","3822.5999999046326","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","183535","0.0-2.0-2.0-0.13","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","189862","0.0-2.0-2.0-1.13","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","6324.700000047684","img/question_2_2.jpeg","5","mat_14","6","1","1","6324.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","190936","0.0-2.0-2.0-0.14","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","194748","0.0-2.0-2.0-1.14","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","3809.6999999284744","img/question_2_3.jpeg","0","mat_15","1","1","1","3809.6999999284744","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","195810","0.0-2.0-2.0-0.15","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","201868","0.0-2.0-2.0-1.15","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","6055.600000023842","img/question_2_4.jpeg","1","mat_16","2","1","1","6055.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","202946","0.0-2.0-2.0-0.16","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","217603","0.0-2.0-2.0-1.16","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","14654.699999928474","img/question_2_5.jpeg","0","mat_17","1","1","1","14654.699999928474","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","218664","0.0-2.0-2.0-0.17","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","225189","0.0-2.0-2.0-1.17","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","6521.700000047684","img/question_2_6.jpeg","2","mat_18","3","1","1","6521.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","40","226253","0.0-2.0-2.0-0.18","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 19 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","41","232711","0.0-2.0-2.0-1.18","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","6454.599999904633","img/question_2_7.jpeg","4","mat_19","5","1","1","6454.599999904633","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","42","233767","0.0-2.0-2.0-0.19","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 20 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","43","243191","0.0-2.0-2.0-1.19","6234b670fac1a65a6f832f32","C3","batch3","spm_respsonse","9421","img/question_2_8.jpeg","3","mat_20","6","0","0","9421","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","44","244258","0.0-2.0-2.0-0.20","6234b670fac1a65a6f832f32","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 21 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
