"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","14380","0.0-0.0","6237ca974050879378c8fea8","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","146457","0.0-1.0-0.0","6237ca974050879378c8fea8","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","153079","0.0-2.0-0.0","6237ca974050879378c8fea8","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","211051","0.0-2.0-1.0-0.0","6237ca974050879378c8fea8","A3","batch1","[{""page_index"":0,""viewing_time"":50348.09999990463},{""page_index"":1,""viewing_time"":7623.5}]","57971.799999952316","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","214771","0.0-2.0-1.0-1.0-0.0","6237ca974050879378c8fea8","A3","batch1","","3718.899999976158","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","221107","0.0-2.0-1.0-1.0-1.0","6237ca974050879378c8fea8","A3","batch1","","6335.100000023842","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","222425","0.0-2.0-1.0-1.0-2.0","6237ca974050879378c8fea8","A3","batch1","","1317.2000000476837","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","226715","0.0-2.0-1.0-1.0-3.0","6237ca974050879378c8fea8","A3","batch1","","4289.399999976158","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","227281","0.0-2.0-1.0-1.0-4.0","6237ca974050879378c8fea8","A3","batch1","","565.8999999761581","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","228929","0.0-2.0-2.0","6237ca974050879378c8fea8","A3","batch1","","1647.3999999761581","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","229761","0.0-2.0-3.0-0.0","6237ca974050879378c8fea8","A3","batch1","","829.6000000238419","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","230773","0.0-2.0-3.0-1.0","6237ca974050879378c8fea8","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","231934","0.0-2.0-3.0-0.1","6237ca974050879378c8fea8","A3","batch1","","1160.7000000476837","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","232951","0.0-2.0-3.0-1.1","6237ca974050879378c8fea8","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","234041","0.0-2.0-3.0-0.2","6237ca974050879378c8fea8","A3","batch1","","1089.3999999761581","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","235053","0.0-2.0-3.0-1.2","6237ca974050879378c8fea8","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","235628","0.0-2.0-3.0-0.3","6237ca974050879378c8fea8","A3","batch1","","573.8000000715256","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","236649","0.0-2.0-3.0-1.3","6237ca974050879378c8fea8","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","237667","0.0-2.0-3.0-0.4","6237ca974050879378c8fea8","A3","batch1","","1017.6000000238419","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","238679","0.0-2.0-3.0-1.4","6237ca974050879378c8fea8","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","345716","0.0-2.0-4.0","6237ca974050879378c8fea8","A3","batch1","","107036.79999995232","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","346530","0.0-2.0-5.0-0.0","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","348539","0.0-2.0-5.0-1.0","6237ca974050879378c8fea8","A3","batch1","","2007.3000000715256","stim/yes_12_hor_w1_w.png","f","pattern_response","true","f","pattern_42","2007.3000000715256","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","349847","0.0-2.0-5.0-0.1","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","350413","0.0-2.0-5.0-1.1","6237ca974050879378c8fea8","A3","batch1","","566","stim/yes_39_hor_w1_w.png","f","pattern_response","true","f","pattern_62","566","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","351719","0.0-2.0-5.0-0.2","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","352300","0.0-2.0-5.0-1.2","6237ca974050879378c8fea8","A3","batch1","","579.8000000715256","stim/yes_46_ver_b1_b.png","f","pattern_response","true","f","pattern_68","579.8000000715256","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","353617","0.0-2.0-5.0-0.3","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","354389","0.0-2.0-5.0-1.3","6237ca974050879378c8fea8","A3","batch1","","771.7000000476837","stim/yes_37_hor_w1_w.png","f","pattern_response","true","f","pattern_60","771.7000000476837","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","355700","0.0-2.0-5.0-0.4","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","356439","0.0-2.0-5.0-1.4","6237ca974050879378c8fea8","A3","batch1","","738.1000000238419","stim/yes_26_dia_w2_w.png","f","pattern_response","true","f","pattern_50","738.1000000238419","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","357742","0.0-2.0-5.0-0.5","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","358469","0.0-2.0-5.0-1.5","6237ca974050879378c8fea8","A3","batch1","","726.8000000715256","stim/yes_70_ver_b1.png","f","pattern_response","true","f","pattern_80","726.8000000715256","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","359801","0.0-2.0-5.0-0.6","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","362198","0.0-2.0-5.0-1.6","6237ca974050879378c8fea8","A3","batch1","","2395.899999976158","stim/no_51_1.png","j","pattern_response","true","j","pattern_31","2395.899999976158","true","7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","363503","0.0-2.0-5.0-0.7","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","364845","0.0-2.0-5.0-1.7","6237ca974050879378c8fea8","A3","batch1","","1341.1000000238419","stim/no_25_1_b.png","j","pattern_response","true","j","pattern_09","1341.1000000238419","true","8","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","366164","0.0-2.0-5.0-0.8","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 9 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","38","370350","0.0-2.0-5.0-1.8","6237ca974050879378c8fea8","A3","batch1","","4185.600000023842","stim/no_67_1.png","j","pattern_response","true","j","pattern_39","4185.600000023842","true","9","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","371658","0.0-2.0-5.0-0.9","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 10 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","40","375522","0.0-2.0-5.0-1.9","6237ca974050879378c8fea8","A3","batch1","","3862.600000023842","stim/no_53_1_b.png","j","pattern_response","true","j","pattern_33","3862.600000023842","true","10","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","376834","0.0-2.0-5.0-0.10","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 11 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","42","380647","0.0-2.0-5.0-1.10","6237ca974050879378c8fea8","A3","batch1","","3812.6999999284744","stim/no_49_2_b.png","j","pattern_response","true","j","pattern_29","3812.6999999284744","true","11","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","43","381956","0.0-2.0-5.0-0.11","6237ca974050879378c8fea8","A3","batch1","","null","<p class=block-text>Trial 12 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","44","382700","0.0-2.0-5.0-1.11","6237ca974050879378c8fea8","A3","batch1","","744","stim/yes_15_dia_b1u_b.png","f","pattern_response","true","f","pattern_44","744","true","12","","","","","","","","","","","","","","","","","","",""
