"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1187","0.0-0.0","6245c8c532cdc22633ecbf3f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","9609","0.0-1.0-0.0","6245c8c532cdc22633ecbf3f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","12439","0.0-2.0-0.0","6245c8c532cdc22633ecbf3f","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","50034","0.0-2.0-1.0-0.0-0.0","6245c8c532cdc22633ecbf3f","E1","batch5","[{""page_index"":0,""viewing_time"":8086.600000023842},{""page_index"":1,""viewing_time"":3592.7000000476837},{""page_index"":2,""viewing_time"":2278.6999999284744},{""page_index"":3,""viewing_time"":9253.300000071526},{""page_index"":4,""viewing_time"":3466.0999999046326},{""page_index"":5,""viewing_time"":8664.600000023842},{""page_index"":6,""viewing_time"":2251.7000000476837}]","37594","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","51066","0.0-2.0-1.0-1.0-0.0","6245c8c532cdc22633ecbf3f","E1","batch5","","1030.7999999523163","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","55373","0.0-2.0-1.0-1.0-1.0","6245c8c532cdc22633ecbf3f","E1","batch5","","4305.600000023842","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","56314","0.0-2.0-1.0-1.0-2.0","6245c8c532cdc22633ecbf3f","E1","batch5","","939","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","58367","0.0-2.0-1.0-1.0-3.0","6245c8c532cdc22633ecbf3f","E1","batch5","","2051.600000023842","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","58935","0.0-2.0-1.0-1.0-4.0","6245c8c532cdc22633ecbf3f","E1","batch5","","567.5","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","60142","0.0-2.0-2.0","6245c8c532cdc22633ecbf3f","E1","batch5","","1205.2000000476837","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","66132","0.0-2.0-3.0-0.0","6245c8c532cdc22633ecbf3f","E1","batch5","","5988","tol_practice","","","","tol_peg_2","5988","5988","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","5988","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","67161","0.0-2.0-3.0-1.0","6245c8c532cdc22633ecbf3f","E1","batch5","","1029","tol_practice","","","","tol_peg_3","1029","1029","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1029","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","68169","0.0-2.0-4.0","6245c8c532cdc22633ecbf3f","E1","batch5","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
