"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","6619","0.0-0.0","6268a3f5379f921275a284f1","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","28582","0.0-1.0-0.0","6268a3f5379f921275a284f1","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","34683","0.0-2.0-0.0","6268a3f5379f921275a284f1","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","139701","0.0-2.0-1.0-0.0-0.0","6268a3f5379f921275a284f1","B2","batch2","[{""page_index"":0,""viewing_time"":18579.09999999404},{""page_index"":1,""viewing_time"":9372.90000000596},{""page_index"":2,""viewing_time"":11059.199999988079},{""page_index"":3,""viewing_time"":22885.40000000596},{""page_index"":4,""viewing_time"":18573.79999998212},{""page_index"":5,""viewing_time"":18703},{""page_index"":6,""viewing_time"":5842.700000017881}]","105016.39999997616","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","141302","0.0-2.0-1.0-1.0-0.0","6268a3f5379f921275a284f1","B2","batch2","","1599.7999999821186","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","149273","0.0-2.0-1.0-1.0-1.0","6268a3f5379f921275a284f1","B2","batch2","","7969.200000017881","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","153357","0.0-2.0-1.0-1.0-2.0","6268a3f5379f921275a284f1","B2","batch2","","4082.100000023842","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","157019","0.0-2.0-1.0-1.0-3.0","6268a3f5379f921275a284f1","B2","batch2","","3660.600000023842","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","158436","0.0-2.0-1.0-1.0-4.0","6268a3f5379f921275a284f1","B2","batch2","","1416.0999999940395","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","161523","0.0-2.0-2.0","6268a3f5379f921275a284f1","B2","batch2","","3084.7000000178814","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","164686","0.0-2.0-3.0-0.0","6268a3f5379f921275a284f1","B2","batch2","","3161","tol_practice","","","","tol_peg_2","3161","3161","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3161","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","167505","0.0-2.0-3.0-1.0","6268a3f5379f921275a284f1","B2","batch2","","2817","tol_practice","","","","tol_peg_3","2817","2817","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","2817","","","","","","","","","","","","","","",""
