"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2274","0.0-0.0","627b3ff37300aa333ec08823","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10294","0.0-1.0-0.0","627b3ff37300aa333ec08823","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16339","0.0-2.0-0.0","627b3ff37300aa333ec08823","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","45001","0.0-2.0-1.0-0.0","627b3ff37300aa333ec08823","A3","batch1","[{""page_index"":0,""viewing_time"":22174.400000572205},{""page_index"":1,""viewing_time"":6485.099999427795}]","28659.900000572205","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","46314","0.0-2.0-1.0-1.0-0.0","627b3ff37300aa333ec08823","A3","batch1","","1311.8999996185303","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","47898","0.0-2.0-1.0-1.0-1.0","627b3ff37300aa333ec08823","A3","batch1","","1582.6000003814697","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","48704","0.0-2.0-1.0-1.0-2.0","627b3ff37300aa333ec08823","A3","batch1","","804.6000003814697","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","50397","0.0-2.0-1.0-1.0-3.0","627b3ff37300aa333ec08823","A3","batch1","","1691.5999994277954","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","51191","0.0-2.0-1.0-1.0-4.0","627b3ff37300aa333ec08823","A3","batch1","","792.1999998092651","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","52266","0.0-2.0-2.0","627b3ff37300aa333ec08823","A3","batch1","","1073.0999994277954","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","53126","0.0-2.0-3.0-0.0","627b3ff37300aa333ec08823","A3","batch1","","856.3999996185303","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","54129","0.0-2.0-3.0-1.0","627b3ff37300aa333ec08823","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","54945","0.0-2.0-3.0-0.1","627b3ff37300aa333ec08823","A3","batch1","","814.1999998092651","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","55977","0.0-2.0-3.0-1.1","627b3ff37300aa333ec08823","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","56691","0.0-2.0-3.0-0.2","627b3ff37300aa333ec08823","A3","batch1","","712.8999996185303","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","57709","0.0-2.0-3.0-1.2","627b3ff37300aa333ec08823","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","58679","0.0-2.0-3.0-0.3","627b3ff37300aa333ec08823","A3","batch1","","967.4000005722046","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","59695","0.0-2.0-3.0-1.3","627b3ff37300aa333ec08823","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","60861","0.0-2.0-3.0-0.4","627b3ff37300aa333ec08823","A3","batch1","","1164.2000007629395","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","61876","0.0-2.0-3.0-1.4","627b3ff37300aa333ec08823","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","63464","0.0-2.0-4.0","627b3ff37300aa333ec08823","A3","batch1","","1585.6999998092651","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","64267","0.0-2.0-5.0-0.0","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","66560","0.0-2.0-5.0-1.0","627b3ff37300aa333ec08823","A3","batch1","","2291","stim/no_43_2_b.png","j","pattern_response","true","j","pattern_23","2291","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","67868","0.0-2.0-5.0-0.1","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","68641","0.0-2.0-5.0-1.1","627b3ff37300aa333ec08823","A3","batch1","","771.7999992370605","stim/yes_46_ver_b1_b.png","f","pattern_response","true","f","pattern_68","771.7999992370605","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","69954","0.0-2.0-5.0-0.2","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","70998","0.0-2.0-5.0-1.2","627b3ff37300aa333ec08823","A3","batch1","","1042.4000005722046","stim/no_28_2.png","j","pattern_response","true","j","pattern_11","1042.4000005722046","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","72307","0.0-2.0-5.0-0.3","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","73305","0.0-2.0-5.0-1.3","627b3ff37300aa333ec08823","A3","batch1","","996.9000005722046","stim/no_25_1_b.png","j","pattern_response","true","j","pattern_09","996.9000005722046","true","4","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","29","74622","0.0-2.0-5.0-0.4","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 5 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","30","75448","0.0-2.0-5.0-1.4","627b3ff37300aa333ec08823","A3","batch1","","824","stim/yes_36_ver_w1_w.png","f","pattern_response","true","f","pattern_58","824","true","5","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","31","76770","0.0-2.0-5.0-0.5","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 6 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","32","80782","0.0-2.0-5.0-1.5","627b3ff37300aa333ec08823","A3","batch1","","4009.9000005722046","stim/no_53_1_b.png","j","pattern_response","true","j","pattern_33","4009.9000005722046","true","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","33","82101","0.0-2.0-5.0-0.6","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 7 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","34","83393","0.0-2.0-5.0-1.6","627b3ff37300aa333ec08823","A3","batch1","","1289.4000005722046","stim/yes_26_dia_w2_w.png","j","pattern_response","false","f","pattern_50","1289.4000005722046","false","6","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","35","84703","0.0-2.0-5.0-0.7","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 8 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","36","85360","0.0-2.0-5.0-1.7","627b3ff37300aa333ec08823","A3","batch1","","655.3999996185303","stim/yes_70_ver_b1.png","f","pattern_response","true","f","pattern_80","655.3999996185303","true","7","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","37","86678","0.0-2.0-5.0-0.8","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 9 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","38","87328","0.0-2.0-5.0-1.8","627b3ff37300aa333ec08823","A3","batch1","","647.5","stim/no_15_1_w.png","j","pattern_response","true","j","pattern_03","647.5","true","8","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","39","88652","0.0-2.0-5.0-0.9","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 10 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","40","91469","0.0-2.0-5.0-1.9","627b3ff37300aa333ec08823","A3","batch1","","2815","stim/no_67_1.png","j","pattern_response","true","j","pattern_39","2815","true","9","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","41","92787","0.0-2.0-5.0-0.10","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 11 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","42","95962","0.0-2.0-5.0-1.10","627b3ff37300aa333ec08823","A3","batch1","","3172.699999809265","stim/yes_58_dia_w1_w.png","j","pattern_response","false","f","pattern_76","3172.699999809265","false","9","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","43","97277","0.0-2.0-5.0-0.11","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 12 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","44","98745","0.0-2.0-5.0-1.11","627b3ff37300aa333ec08823","A3","batch1","","1466.1000003814697","stim/no_37_2_w.png","j","pattern_response","true","j","pattern_19","1466.1000003814697","true","10","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","45","100068","0.0-2.0-5.0-0.12","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 13 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","46","101460","0.0-2.0-5.0-1.12","627b3ff37300aa333ec08823","A3","batch1","","1390.5999994277954","stim/yes_37_hor_w1_w.png","f","pattern_response","true","f","pattern_60","1390.5999994277954","true","11","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","47","102786","0.0-2.0-5.0-0.13","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 14 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","48","105081","0.0-2.0-5.0-1.13","627b3ff37300aa333ec08823","A3","batch1","","2294.0999994277954","stim/yes_49_hor_w1_b.png","f","pattern_response","true","f","pattern_70","2294.0999994277954","true","12","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","49","106399","0.0-2.0-5.0-0.14","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 15 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","50","109835","0.0-2.0-5.0-1.14","627b3ff37300aa333ec08823","A3","batch1","","3433.8999996185303","stim/no_49_2_b.png","j","pattern_response","true","j","pattern_29","3433.8999996185303","true","13","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","51","111138","0.0-2.0-5.0-0.15","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 16 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","52","113934","0.0-2.0-5.0-1.15","627b3ff37300aa333ec08823","A3","batch1","","2794","stim/yes_51_dia_b1.png","j","pattern_response","false","f","pattern_72","2794","false","13","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","53","115252","0.0-2.0-5.0-0.16","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 17 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","54","117271","0.0-2.0-5.0-1.16","627b3ff37300aa333ec08823","A3","batch1","","2017","stim/yes_42_dia_w1_w.png","j","pattern_response","false","f","pattern_64","2017","false","13","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","55","118597","0.0-2.0-5.0-0.17","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 18 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","56","121555","0.0-2.0-5.0-1.17","627b3ff37300aa333ec08823","A3","batch1","","2954.699999809265","stim/no_45_1_w.png","j","pattern_response","true","j","pattern_25","2954.699999809265","true","14","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","57","122881","0.0-2.0-5.0-0.18","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 19 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","58","125740","0.0-2.0-5.0-1.18","627b3ff37300aa333ec08823","A3","batch1","","2856","stim/no_51_1.png","j","pattern_response","true","j","pattern_31","2856","true","15","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","59","127064","0.0-2.0-5.0-0.19","627b3ff37300aa333ec08823","A3","batch1","","null","<p class=block-text>Trial 20 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
