"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","8767","0.0-0.0","627e7c4b12787b51092b1984","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","21231","0.0-1.0-0.0","627e7c4b12787b51092b1984","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","24354","0.0-2.0-0.0","627e7c4b12787b51092b1984","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","34723","0.0-2.0-1.0-0.0","627e7c4b12787b51092b1984","A3","batch1","[{""page_index"":0,""viewing_time"":6930.300000011921},{""page_index"":1,""viewing_time"":3436}]","10367.200000017881","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","35980","0.0-2.0-1.0-1.0-0.0","627e7c4b12787b51092b1984","A3","batch1","","1255.800000011921","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","37856","0.0-2.0-1.0-1.0-1.0","627e7c4b12787b51092b1984","A3","batch1","","1874.800000011921","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","38360","0.0-2.0-1.0-1.0-2.0","627e7c4b12787b51092b1984","A3","batch1","","502.80000001192093","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","40274","0.0-2.0-1.0-1.0-3.0","627e7c4b12787b51092b1984","A3","batch1","","1913","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","40723","0.0-2.0-1.0-1.0-4.0","627e7c4b12787b51092b1984","A3","batch1","","447.39999997615814","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","41822","0.0-2.0-2.0","627e7c4b12787b51092b1984","A3","batch1","","1098.5","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","44753","0.0-2.0-3.0-0.0","627e7c4b12787b51092b1984","A3","batch1","","2918.5","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","45762","0.0-2.0-3.0-1.0","627e7c4b12787b51092b1984","A3","batch1","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","47172","0.0-2.0-3.0-0.1","627e7c4b12787b51092b1984","A3","batch1","","1408.0999999940395","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","48179","0.0-2.0-3.0-1.1","627e7c4b12787b51092b1984","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","49221","0.0-2.0-3.0-0.2","627e7c4b12787b51092b1984","A3","batch1","","1041.0999999940395","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","50230","0.0-2.0-3.0-1.2","627e7c4b12787b51092b1984","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","51718","0.0-2.0-3.0-0.3","627e7c4b12787b51092b1984","A3","batch1","","1486.300000011921","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","52731","0.0-2.0-3.0-1.3","627e7c4b12787b51092b1984","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","55174","0.0-2.0-3.0-0.4","627e7c4b12787b51092b1984","A3","batch1","","2441.5","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","56183","0.0-2.0-3.0-1.4","627e7c4b12787b51092b1984","A3","batch1","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","58245","0.0-2.0-4.0","627e7c4b12787b51092b1984","A3","batch1","","2060.800000011921","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","59052","0.0-2.0-5.0-0.0","627e7c4b12787b51092b1984","A3","batch1","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","60047","0.0-2.0-5.0-1.0","627e7c4b12787b51092b1984","A3","batch1","","993.4000000059605","stim/no_18_1_b.png","j","pattern_response","true","j","pattern_05","993.4000000059605","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","61367","0.0-2.0-5.0-0.1","627e7c4b12787b51092b1984","A3","batch1","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
