"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","799","0.0-0.0","628261a08ec6e3682495f8d8","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","13005","0.0-1.0-0.0","628261a08ec6e3682495f8d8","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","16802","0.0-2.0-0.0","628261a08ec6e3682495f8d8","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","82238","0.0-2.0-1.0-0.0-0.0","628261a08ec6e3682495f8d8","F1","batch6","[{""page_index"":0,""viewing_time"":14992.200000047684},{""page_index"":1,""viewing_time"":5473.899999856949},{""page_index"":2,""viewing_time"":10277.900000095367},{""page_index"":3,""viewing_time"":13194.700000047684},{""page_index"":4,""viewing_time"":10573},{""page_index"":5,""viewing_time"":6502.699999809265},{""page_index"":6,""viewing_time"":4420.300000190735}]","65435.200000047684","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","84160","0.0-2.0-1.0-1.0-0.0","628261a08ec6e3682495f8d8","F1","batch6","","1921","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","88394","0.0-2.0-1.0-1.0-1.0","628261a08ec6e3682495f8d8","F1","batch6","","4232.700000047684","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","89817","0.0-2.0-1.0-1.0-2.0","628261a08ec6e3682495f8d8","F1","batch6","","1422.0999999046326","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","95340","0.0-2.0-1.0-1.0-3.0","628261a08ec6e3682495f8d8","F1","batch6","","5521.400000095367","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","96342","0.0-2.0-1.0-1.0-4.0","628261a08ec6e3682495f8d8","F1","batch6","","1001.2000000476837","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","99090","0.0-2.0-2.0","628261a08ec6e3682495f8d8","F1","batch6","","2746.4000000953674","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
