"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","6585","0.0-0.0","62851102d56842a48361f9d4","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","29208","0.0-1.0-0.0","62851102d56842a48361f9d4","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","32561","0.0-2.0-0.0","62851102d56842a48361f9d4","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","41964","0.0-2.0-1.0","62851102d56842a48361f9d4","C3","batch3","","9401.400000095367","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","42774","0.0-2.0-2.0-0.0","62851102d56842a48361f9d4","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","51861","0.0-2.0-2.0-1.0","62851102d56842a48361f9d4","C3","batch3","spm_respsonse","9083.299999952316","img/question_1_1.jpeg","3","mat_01","4","1","1","9083.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","52928","0.0-2.0-2.0-0.1","62851102d56842a48361f9d4","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","55839","0.0-2.0-2.0-1.1","62851102d56842a48361f9d4","C3","batch3","spm_respsonse","2909","img/question_1_2.jpeg","4","mat_02","5","1","1","2909","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","56907","0.0-2.0-2.0-0.2","62851102d56842a48361f9d4","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","62090","0.0-2.0-2.0-1.2","62851102d56842a48361f9d4","C3","batch3","spm_respsonse","5179.700000047684","img/question_1_3.jpeg","0","mat_03","1","1","1","5179.700000047684","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","63161","0.0-2.0-2.0-0.3","62851102d56842a48361f9d4","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","67148","0.0-2.0-2.0-1.3","62851102d56842a48361f9d4","C3","batch3","spm_respsonse","3984.7000000476837","img/question_1_4.jpeg","1","mat_04","2","1","1","3984.7000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","68215","0.0-2.0-2.0-0.4","62851102d56842a48361f9d4","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","72209","0.0-2.0-2.0-1.4","62851102d56842a48361f9d4","C3","batch3","spm_respsonse","3992.7999999523163","img/question_1_5.jpeg","5","mat_05","6","1","1","3992.7999999523163","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","73272","0.0-2.0-2.0-0.5","62851102d56842a48361f9d4","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","77895","0.0-2.0-2.0-1.5","62851102d56842a48361f9d4","C3","batch3","spm_respsonse","4621.099999904633","img/question_1_6.jpeg","2","mat_06","3","1","1","4621.099999904633","","","","","","","","","","","","","","","","","","","","",""
