"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","1536","0.0-0.0","6287d7ec96fff020be1d9237","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","17405","0.0-1.0-0.0","6287d7ec96fff020be1d9237","C3","batch3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","203823","0.0-2.0-0.0","6287d7ec96fff020be1d9237","C3","batch3","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","249894","0.0-2.0-1.0","6287d7ec96fff020be1d9237","C3","batch3","","46067.30000001192","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","250695","0.0-2.0-2.0-0.0","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","260479","0.0-2.0-2.0-1.0","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","9779.5","img/question_1_1.jpeg","3","mat_01","4","1","1","9779.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","261538","0.0-2.0-2.0-0.1","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","266643","0.0-2.0-2.0-1.1","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","5102.699999988079","img/question_1_2.jpeg","4","mat_02","5","1","1","5102.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","267695","0.0-2.0-2.0-0.2","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","273157","0.0-2.0-2.0-1.2","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","5460.399999976158","img/question_1_3.jpeg","0","mat_03","1","1","1","5460.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","274210","0.0-2.0-2.0-0.3","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","282945","0.0-2.0-2.0-1.3","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","8727.800000011921","img/question_1_4.jpeg","2","mat_04","2","0","0","8727.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","284018","0.0-2.0-2.0-0.4","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","296141","0.0-2.0-2.0-1.4","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","12118.699999988079","img/question_1_5.jpeg","5","mat_05","6","1","1","12118.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","297194","0.0-2.0-2.0-0.5","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","308864","0.0-2.0-2.0-1.5","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","11667.5","img/question_1_6.jpeg","2","mat_06","3","1","1","11667.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","309917","0.0-2.0-2.0-0.6","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","325074","0.0-2.0-2.0-1.6","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","15155.300000011921","img/question_1_7.jpeg","5","mat_07","6","1","1","15155.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","326136","0.0-2.0-2.0-0.7","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 8 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","19","340116","0.0-2.0-2.0-1.7","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","13975.199999988079","img/question_1_8.jpeg","1","mat_08","2","1","1","13975.199999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","341184","0.0-2.0-2.0-0.8","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 9 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","21","348790","0.0-2.0-2.0-1.8","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","7602.5","img/question_1_9.jpeg","0","mat_09","1","1","1","7602.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","349865","0.0-2.0-2.0-0.9","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 10 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","23","359895","0.0-2.0-2.0-1.9","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","10026.099999964237","img/question_1_10.jpeg","2","mat_10","3","1","1","10026.099999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","360948","0.0-2.0-2.0-0.10","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 11 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","25","387030","0.0-2.0-2.0-1.10","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","26079.299999952316","img/question_1_11.jpeg","3","mat_11","4","1","1","26079.299999952316","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","388083","0.0-2.0-2.0-0.11","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 12 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","27","405321","0.0-2.0-2.0-1.11","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","17235.399999976158","img/question_1_12.jpeg","4","mat_12","5","1","1","17235.399999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","406389","0.0-2.0-2.0-0.12","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 13 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","29","424638","0.0-2.0-2.0-1.12","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","18246.400000035763","img/question_2_1.jpeg","1","mat_13","2","1","1","18246.400000035763","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","425707","0.0-2.0-2.0-0.13","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 14 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","31","441603","0.0-2.0-2.0-1.13","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","15891.099999964237","img/question_2_2.jpeg","5","mat_14","6","1","1","15891.099999964237","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","442658","0.0-2.0-2.0-0.14","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 15 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","33","447183","0.0-2.0-2.0-1.14","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","4521.600000023842","img/question_2_3.jpeg","0","mat_15","1","1","1","4521.600000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","448251","0.0-2.0-2.0-0.15","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 16 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","35","460885","0.0-2.0-2.0-1.15","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","12632.100000023842","img/question_2_4.jpeg","1","mat_16","2","1","1","12632.100000023842","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","36","461953","0.0-2.0-2.0-0.16","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 17 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","37","477006","0.0-2.0-2.0-1.16","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","15050.300000011921","img/question_2_5.jpeg","0","mat_17","1","1","1","15050.300000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","38","478060","0.0-2.0-2.0-0.17","6287d7ec96fff020be1d9237","C3","batch3","spm_show_trial_num","null","<p class=block-text>Trial 18 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","39","488898","0.0-2.0-2.0-1.17","6287d7ec96fff020be1d9237","C3","batch3","spm_respsonse","10836.199999988079","img/question_2_6.jpeg","2","mat_18","3","1","1","10836.199999988079","","","","","","","","","","","","","","","","","","","","",""
