"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","729","0.0-0.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","69351","0.0-1.0-0.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","72303","0.0-2.0-0.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","96648","0.0-2.0-1.0-0.0","628fa9e1afc3de7797cb6e2f","F1","batch6","[{""page_index"":0,""viewing_time"":19444.099999964237},{""page_index"":1,""viewing_time"":4899.900000035763}]","24344.19999998808","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","97790","0.0-2.0-1.0-1.0-0.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","1141.0999999642372","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","101411","0.0-2.0-1.0-1.0-1.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","3619.600000023842","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","102537","0.0-2.0-1.0-1.0-2.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","1124.5999999642372","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","106230","0.0-2.0-1.0-1.0-3.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","3692.900000035763","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","107411","0.0-2.0-1.0-1.0-4.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","1179.199999988079","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","108670","0.0-2.0-2.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","1258.5","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","111771","0.0-2.0-3.0-0.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","3099","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","112775","0.0-2.0-3.0-1.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","114482","0.0-2.0-3.0-0.1","628fa9e1afc3de7797cb6e2f","F1","batch6","","1706.5","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","115507","0.0-2.0-3.0-1.1","628fa9e1afc3de7797cb6e2f","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","117464","0.0-2.0-3.0-0.2","628fa9e1afc3de7797cb6e2f","F1","batch6","","1955.7999999523163","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","118470","0.0-2.0-3.0-1.2","628fa9e1afc3de7797cb6e2f","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","119680","0.0-2.0-3.0-0.3","628fa9e1afc3de7797cb6e2f","F1","batch6","","1209.1000000238419","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","120701","0.0-2.0-3.0-1.3","628fa9e1afc3de7797cb6e2f","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","122456","0.0-2.0-3.0-0.4","628fa9e1afc3de7797cb6e2f","F1","batch6","","1754.0999999642372","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","123477","0.0-2.0-3.0-1.4","628fa9e1afc3de7797cb6e2f","F1","batch6","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","126614","0.0-2.0-4.0","628fa9e1afc3de7797cb6e2f","F1","batch6","","3135.899999976158","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
