"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","6186","0.0-0.0","6290d05992a97c47797f9de3","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","17161","0.0-1.0-0.0","6290d05992a97c47797f9de3","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","20192","0.0-2.0-0.0","6290d05992a97c47797f9de3","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","102641","0.0-2.0-1.0-0.0-0.0","6290d05992a97c47797f9de3","A3","batch1","[{""page_index"":0,""viewing_time"":34578},{""page_index"":1,""viewing_time"":4018.100000023842},{""page_index"":2,""viewing_time"":6375.599999904633},{""page_index"":3,""viewing_time"":10874.5},{""page_index"":4,""viewing_time"":12098.300000071526},{""page_index"":5,""viewing_time"":11408.600000023842},{""page_index"":6,""viewing_time"":3096.1999999284744}]","82449.69999992847","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","103899","0.0-2.0-1.0-1.0-0.0","6290d05992a97c47797f9de3","A3","batch1","","1256.8999999761581","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","108115","0.0-2.0-1.0-1.0-1.0","6290d05992a97c47797f9de3","A3","batch1","","4214.700000047684","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","109727","0.0-2.0-1.0-1.0-2.0","6290d05992a97c47797f9de3","A3","batch1","","1610.2000000476837","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","113103","0.0-2.0-1.0-1.0-3.0","6290d05992a97c47797f9de3","A3","batch1","","3374.5999999046326","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","113918","0.0-2.0-1.0-1.0-4.0","6290d05992a97c47797f9de3","A3","batch1","","813.7999999523163","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","116279","0.0-2.0-1.0-2.0-0.0","6290d05992a97c47797f9de3","A3","batch1","","2359.7999999523163","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
