"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","10349","0.0-0.0","6291003fe4c10d24d42082dd","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","105250","0.0-1.0-0.0","6291003fe4c10d24d42082dd","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","152833","0.0-2.0-0.0","6291003fe4c10d24d42082dd","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","387670","0.0-2.0-1.0-0.0","6291003fe4c10d24d42082dd","E1","batch5","[{""page_index"":0,""viewing_time"":184307.59999999404},{""page_index"":1,""viewing_time"":12579.5},{""page_index"":0,""viewing_time"":1801.2999999970198},{""page_index"":1,""viewing_time"":36149}]","234837.70000000298","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","388804","0.0-2.0-1.0-1.0-0.0","6291003fe4c10d24d42082dd","E1","batch5","","1132.699999988079","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","408857","0.0-2.0-1.0-1.0-1.0","6291003fe4c10d24d42082dd","E1","batch5","","20051.60000000894","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","411039","0.0-2.0-1.0-1.0-2.0","6291003fe4c10d24d42082dd","E1","batch5","","2179.2999999970198","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","414822","0.0-2.0-1.0-1.0-3.0","6291003fe4c10d24d42082dd","E1","batch5","","3782.0999999940395","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","415671","0.0-2.0-1.0-1.0-4.0","6291003fe4c10d24d42082dd","E1","batch5","","847.6000000089407","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","417555","0.0-2.0-1.0-2.0-0.0","6291003fe4c10d24d42082dd","E1","batch5","","1881.2999999970198","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","419454","0.0-2.0-1.1-0.1","6291003fe4c10d24d42082dd","E1","batch5","[{""page_index"":0,""viewing_time"":1097.6000000089407},{""page_index"":1,""viewing_time"":799.5999999940395}]","1897.6000000089407","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","420521","0.0-2.0-1.1-1.1-0.1","6291003fe4c10d24d42082dd","E1","batch5","","1065.7000000029802","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
