"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","4106","0.0-0.0","62911a82ead4bc61607aa7d8","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","18357","0.0-1.0-0.0","62911a82ead4bc61607aa7d8","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","27947","0.0-2.0-0.0","62911a82ead4bc61607aa7d8","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","67770","0.0-2.0-1.0-0.0","62911a82ead4bc61607aa7d8","E1","batch5","[{""page_index"":0,""viewing_time"":24488.5},{""page_index"":1,""viewing_time"":15327.90000000596}]","39816.70000000298","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","69314","0.0-2.0-1.0-1.0-0.0","62911a82ead4bc61607aa7d8","E1","batch5","","1543.2000000029802","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","72338","0.0-2.0-1.0-1.0-1.0","62911a82ead4bc61607aa7d8","E1","batch5","","3023.0999999940395","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","74834","0.0-2.0-1.0-1.0-2.0","62911a82ead4bc61607aa7d8","E1","batch5","","2494.3999999910593","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","81746","0.0-2.0-1.0-1.0-3.0","62911a82ead4bc61607aa7d8","E1","batch5","","6911.5999999940395","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","82538","0.0-2.0-1.0-1.0-4.0","62911a82ead4bc61607aa7d8","E1","batch5","","790.7000000029802","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","84066","0.0-2.0-1.0-2.0-0.0","62911a82ead4bc61607aa7d8","E1","batch5","","1526.9000000059605","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","99898","0.0-2.0-1.1-0.1","62911a82ead4bc61607aa7d8","E1","batch5","[{""page_index"":0,""viewing_time"":14007.29999999702},{""page_index"":1,""viewing_time"":1824.0999999940395}]","15831.59999999404","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","100898","0.0-2.0-1.1-1.1-0.1","62911a82ead4bc61607aa7d8","E1","batch5","","999.3999999910593","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","102994","0.0-2.0-1.1-1.1-1.1","62911a82ead4bc61607aa7d8","E1","batch5","","2095.2000000029802","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","103946","0.0-2.0-1.1-1.1-2.1","62911a82ead4bc61607aa7d8","E1","batch5","","951.0999999940395","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","105770","0.0-2.0-1.1-1.1-3.1","62911a82ead4bc61607aa7d8","E1","batch5","","1823.6000000089407","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","111738","0.0-2.0-1.1-1.1-4.1","62911a82ead4bc61607aa7d8","E1","batch5","","5967.29999999702","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","114986","0.0-2.0-2.0","62911a82ead4bc61607aa7d8","E1","batch5","","3247.2000000029802","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","17","116220","0.0-2.0-3.0-0.0","62911a82ead4bc61607aa7d8","E1","batch5","","1230.6000000089407","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","18","117242","0.0-2.0-3.0-1.0","62911a82ead4bc61607aa7d8","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","19","118297","0.0-2.0-3.0-0.1","62911a82ead4bc61607aa7d8","E1","batch5","","1054.5","stim/prac_yes_20_dia_b1.png","j","pattern_practice","false","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","20","119321","0.0-2.0-3.0-1.1","62911a82ead4bc61607aa7d8","E1","batch5","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","21","120970","0.0-2.0-3.0-0.2","62911a82ead4bc61607aa7d8","E1","batch5","","1647.7000000029802","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","22","122002","0.0-2.0-3.0-1.2","62911a82ead4bc61607aa7d8","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","23","123706","0.0-2.0-3.0-0.3","62911a82ead4bc61607aa7d8","E1","batch5","","1703","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","24","124713","0.0-2.0-3.0-1.3","62911a82ead4bc61607aa7d8","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","25","125706","0.0-2.0-3.0-0.4","62911a82ead4bc61607aa7d8","E1","batch5","","992.2000000029802","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","26","126722","0.0-2.0-3.0-1.4","62911a82ead4bc61607aa7d8","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","27","132314","0.0-2.0-4.0","62911a82ead4bc61607aa7d8","E1","batch5","","5591.4000000059605","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","28","133118","0.0-2.0-5.0-0.0","62911a82ead4bc61607aa7d8","E1","batch5","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","29","134043","0.0-2.0-5.0-1.0","62911a82ead4bc61607aa7d8","E1","batch5","","922","stim/yes_70_ver_b1.png","f","pattern_response","true","f","pattern_80","922","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","30","135372","0.0-2.0-5.0-0.1","62911a82ead4bc61607aa7d8","E1","batch5","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","31","136426","0.0-2.0-5.0-1.1","62911a82ead4bc61607aa7d8","E1","batch5","","1053.7999999970198","stim/no_22_1_b.png","j","pattern_response","true","j","pattern_07","1053.7999999970198","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","32","137762","0.0-2.0-5.0-0.2","62911a82ead4bc61607aa7d8","E1","batch5","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","33","138522","0.0-2.0-5.0-1.2","62911a82ead4bc61607aa7d8","E1","batch5","","758.4000000059605","stim/yes_12_hor_w1_w.png","f","pattern_response","true","f","pattern_42","758.4000000059605","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","34","139852","0.0-2.0-5.0-0.3","62911a82ead4bc61607aa7d8","E1","batch5","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","35","140586","0.0-2.0-5.0-1.3","62911a82ead4bc61607aa7d8","E1","batch5","","732","stim/yes_29_hor_b1_b.png","f","pattern_response","true","f","pattern_52","732","true","4","","","","","","","","","","","","","","","","","","",""
