"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","item","answer","spm_correct","spm_rt","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","23047","0.0-0.0","6294de1b341cd20e308d1a4a","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","410614","0.0-1.0-0.0","6294de1b341cd20e308d1a4a","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","468462","0.0-2.0-0.0","6294de1b341cd20e308d1a4a","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","589163","0.0-2.0-1.0-0.0-0.0","6294de1b341cd20e308d1a4a","F1","batch6","[{""page_index"":0,""viewing_time"":17243.199999999255},{""page_index"":1,""viewing_time"":26360.900000000373},{""page_index"":2,""viewing_time"":13425.800000000745},{""page_index"":3,""viewing_time"":34719.40000000037},{""page_index"":4,""viewing_time"":7874.89999999851},{""page_index"":5,""viewing_time"":17257.60000000149},{""page_index"":6,""viewing_time"":3815.2999999988824}]","120698.30000000075","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","619001","0.0-2.0-1.0-1.0-0.0","6294de1b341cd20e308d1a4a","F1","batch6","","29831.900000000373","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","635243","0.0-2.0-1.0-1.0-1.0","6294de1b341cd20e308d1a4a","F1","batch6","","16236.300000000745","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","637057","0.0-2.0-1.0-1.0-2.0","6294de1b341cd20e308d1a4a","F1","batch6","","1807.300000000745","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","640311","0.0-2.0-1.0-1.0-3.0","6294de1b341cd20e308d1a4a","F1","batch6","","3250.10000000149","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","641333","0.0-2.0-1.0-1.0-4.0","6294de1b341cd20e308d1a4a","F1","batch6","","1016.3999999985099","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","645112","0.0-2.0-2.0","6294de1b341cd20e308d1a4a","F1","batch6","","3772.0999999996275","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","648369","0.0-2.0-3.0-0.0","6294de1b341cd20e308d1a4a","F1","batch6","","3249","tol_practice","","","","tol_peg_2","3249","3249","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","3249","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","649529","0.0-2.0-3.0-1.0","6294de1b341cd20e308d1a4a","F1","batch6","","1154","tol_practice","","","","tol_peg_3","1154","1154","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","1154","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","650543","0.0-2.0-4.0","6294de1b341cd20e308d1a4a","F1","batch6","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","656709","0.0-2.0-5.0-0.0","6294de1b341cd20e308d1a4a","F1","batch6","","6162","tol_practice","","","","tol_peg_1","6162","6162","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","6162","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","657812","0.0-2.0-5.0-1.0","6294de1b341cd20e308d1a4a","F1","batch6","","1099","tol_practice","","","","tol_peg_3","1099","1099","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","1099","","","","","","","","","","","","","","",""
