"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","1080","0.0-0.0","6294fc5023a8698296cbf7b0","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3904","0.0-1.0-0.0","6294fc5023a8698296cbf7b0","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","8442","0.0-2.0-0.0","6294fc5023a8698296cbf7b0","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","97611","0.0-2.0-1.0-0.0","6294fc5023a8698296cbf7b0","E1","batch5","[{""page_index"":0,""viewing_time"":16962.399999976158},{""page_index"":1,""viewing_time"":72205.39999997616}]","89168.10000002384","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","99273","0.0-2.0-1.0-1.0-0.0","6294fc5023a8698296cbf7b0","E1","batch5","","1661.1999999284744","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","101358","0.0-2.0-1.0-1.0-1.0","6294fc5023a8698296cbf7b0","E1","batch5","","2083.8000000715256","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","102802","0.0-2.0-1.0-1.0-2.0","6294fc5023a8698296cbf7b0","E1","batch5","","1443.8000000715256","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","105400","0.0-2.0-1.0-1.0-3.0","6294fc5023a8698296cbf7b0","E1","batch5","","2597.2999999523163","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","105977","0.0-2.0-1.0-1.0-4.0","6294fc5023a8698296cbf7b0","E1","batch5","","576.2000000476837","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","106918","0.0-2.0-2.0","6294fc5023a8698296cbf7b0","E1","batch5","","939.8999999761581","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","109617","0.0-2.0-3.0-0.0","6294fc5023a8698296cbf7b0","E1","batch5","","2697.4000000953674","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","110631","0.0-2.0-3.0-1.0","6294fc5023a8698296cbf7b0","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
