"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices"
"true","false","[]","[]","[]","preload","0","798","0.0-0.0","62a8f6b1a7a7e5eb492c0231","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7238","0.0-1.0-0.0","62a8f6b1a7a7e5eb492c0231","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","9880","0.0-2.0-0.0","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","22614","0.0-2.0-1.0","62a8f6b1a7a7e5eb492c0231","A3","batch1","","12732.40000000596","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","23414","0.0-2.0-2.0-0.0","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","26927","0.0-2.0-2.0-1.0","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_respsonse","3508.800000011921","img/question_1_1.jpeg","3","mat_01","4","1","1","3508.800000011921","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","27994","0.0-2.0-2.0-0.1","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","29726","0.0-2.0-2.0-1.1","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_respsonse","1729.699999988079","img/question_1_2.jpeg","4","mat_02","5","1","1","1729.699999988079","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","30792","0.0-2.0-2.0-0.2","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","34377","0.0-2.0-2.0-1.2","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_respsonse","3583.0999999940395","img/question_1_3.jpeg","0","mat_03","1","1","1","3583.0999999940395","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","35431","0.0-2.0-2.0-0.3","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","38615","0.0-2.0-2.0-1.3","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_respsonse","3183.5","img/question_1_4.jpeg","1","mat_04","2","1","1","3183.5","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","39685","0.0-2.0-2.0-0.4","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","42747","0.0-2.0-2.0-1.4","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_respsonse","3060","img/question_1_5.jpeg","5","mat_05","6","1","1","3060","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","43811","0.0-2.0-2.0-0.5","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","48054","0.0-2.0-2.0-1.5","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_respsonse","4241.899999976158","img/question_1_6.jpeg","2","mat_06","3","1","1","4241.899999976158","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","16","49116","0.0-2.0-2.0-0.6","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_show_trial_num","null","<p class=block-text>Trial 7 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","17","52811","0.0-2.0-2.0-1.6","62a8f6b1a7a7e5eb492c0231","A3","batch1","spm_respsonse","3693.7999999821186","img/question_1_7.jpeg","5","mat_07","6","1","1","3693.7999999821186","","","","","","","","","","","","","","","","","","","","",""
