"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","36336","0.0-0.0","62b496ea7c06f67ea068d0d3","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","42749","0.0-1.0-0.0","62b496ea7c06f67ea068d0d3","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","49291","0.0-2.0-0.0","62b496ea7c06f67ea068d0d3","A3","batch1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","58794","0.0-2.0-1.0-0.0-0.0","62b496ea7c06f67ea068d0d3","A3","batch1","[{""page_index"":0,""viewing_time"":3998},{""page_index"":1,""viewing_time"":1009},{""page_index"":2,""viewing_time"":806},{""page_index"":3,""viewing_time"":674},{""page_index"":4,""viewing_time"":711},{""page_index"":5,""viewing_time"":656},{""page_index"":6,""viewing_time"":1648}]","9502","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","60098","0.0-2.0-1.0-1.0-0.0","62b496ea7c06f67ea068d0d3","A3","batch1","","1303","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","65475","0.0-2.0-1.0-1.0-1.0","62b496ea7c06f67ea068d0d3","A3","batch1","","5373","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","1","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","66786","0.0-2.0-1.0-1.0-2.0","62b496ea7c06f67ea068d0d3","A3","batch1","","1310","tol_quiz_feedback","<p class = block-text>Incorrect. Remember, you can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","68410","0.0-2.0-1.0-1.0-3.0","62b496ea7c06f67ea068d0d3","A3","batch1","","1622","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","70187","0.0-2.0-1.0-1.0-4.0","62b496ea7c06f67ea068d0d3","A3","batch1","","1775","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","71739","0.0-2.0-1.0-2.0-0.0","62b496ea7c06f67ea068d0d3","A3","batch1","","1549","","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instructions and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","10","77634","0.0-2.0-1.1-0.1-0.1","62b496ea7c06f67ea068d0d3","A3","batch1","[{""page_index"":0,""viewing_time"":1379},{""page_index"":1,""viewing_time"":1296},{""page_index"":2,""viewing_time"":6},{""page_index"":3,""viewing_time"":883},{""page_index"":4,""viewing_time"":583},{""page_index"":5,""viewing_time"":744},{""page_index"":6,""viewing_time"":1001}]","5892","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","11","78690","0.0-2.0-1.1-1.1-0.1","62b496ea7c06f67ea068d0d3","A3","batch1","","1054","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","12","84218","0.0-2.0-1.1-1.1-1.1","62b496ea7c06f67ea068d0d3","A3","batch1","","5525","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","13","85395","0.0-2.0-1.1-1.1-2.1","62b496ea7c06f67ea068d0d3","A3","batch1","","1174","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","14","90211","0.0-2.0-1.1-1.1-3.1","62b496ea7c06f67ea068d0d3","A3","batch1","","4813","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","15","91322","0.0-2.0-1.1-1.1-4.1","62b496ea7c06f67ea068d0d3","A3","batch1","","1108","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","16","93299","0.0-2.0-2.0","62b496ea7c06f67ea068d0d3","A3","batch1","","1975","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","17","100691","0.0-2.0-3.0-0.0","62b496ea7c06f67ea068d0d3","A3","batch1","","7390","tol_practice","","","","tol_peg_2","7390","7390","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","7390","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","18","103354","0.0-2.0-3.0-1.0","62b496ea7c06f67ea068d0d3","A3","batch1","","2662","tol_practice","","","","tol_peg_1","2662","2662","0","[[1,2,3],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","2662","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","119331","0.0-2.0-3.1-0.1","62b496ea7c06f67ea068d0d3","A3","batch1","","15975","tol_practice","","","","tol_peg_1","15975","15975","0","[[1,2,0],[0,0],[0]]","2","[[1,2,0],[0,0],[3]]","practice","15975","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","121595","0.0-2.0-3.1-1.1","62b496ea7c06f67ea068d0d3","A3","batch1","","2264","tol_practice","","","","tol_peg_1","2264","2264","0","[[1,2,3],[0,0],[0]]","2","[[1,2,0],[0,0],[3]]","practice","2264","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","122274","0.0-2.0-3.2-0.2","62b496ea7c06f67ea068d0d3","A3","batch1","","679","tol_practice","","","","tol_peg_1","679","679","0","[[1,2,0],[0,0],[0]]","3","[[1,2,0],[0,0],[3]]","practice","679","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","22","122906","0.0-2.0-3.2-1.2","62b496ea7c06f67ea068d0d3","A3","batch1","","630","tol_practice","","","","tol_peg_1","630","630","0","[[1,2,3],[0,0],[0]]","3","[[1,2,0],[0,0],[3]]","practice","630","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","23","123354","0.0-2.0-3.3-0.3","62b496ea7c06f67ea068d0d3","A3","batch1","","448","tol_practice","","","","tol_peg_1","448","448","0","[[1,2,0],[0,0],[0]]","4","[[1,2,0],[0,0],[3]]","practice","448","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","125571","0.0-2.0-3.3-1.3","62b496ea7c06f67ea068d0d3","A3","batch1","","2216","tol_practice","","","","tol_peg_1","2216","2216","0","[[1,2,3],[0,0],[0]]","4","[[1,2,0],[0,0],[3]]","practice","2216","","","","","","","","","","","","","","",""
