"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","27434","0.0-0.0","62c41fe598ab94de4d4f021e","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","81115","0.0-1.0-0.0","62c41fe598ab94de4d4f021e","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","83315","0.0-2.0-0.0","62c41fe598ab94de4d4f021e","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","238432","0.0-2.0-1.0-0.0-0.0","62c41fe598ab94de4d4f021e","B2","batch2","[{""page_index"":0,""viewing_time"":32564.600000023842},{""page_index"":1,""viewing_time"":9095.799999982119},{""page_index"":2,""viewing_time"":11016},{""page_index"":3,""viewing_time"":17415.90000000596},{""page_index"":4,""viewing_time"":16551.69999998808},{""page_index"":5,""viewing_time"":30232},{""page_index"":6,""viewing_time"":38239.60000002384}]","155116","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","240825","0.0-2.0-1.0-1.0-0.0","62c41fe598ab94de4d4f021e","B2","batch2","","2391","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","262656","0.0-2.0-1.0-1.0-1.0","62c41fe598ab94de4d4f021e","B2","batch2","","21830.399999976158","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","263784","0.0-2.0-1.0-1.0-2.0","62c41fe598ab94de4d4f021e","B2","batch2","","1126.4000000059605","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","268536","0.0-2.0-1.0-1.0-3.0","62c41fe598ab94de4d4f021e","B2","batch2","","4751.299999982119","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","269152","0.0-2.0-1.0-1.0-4.0","62c41fe598ab94de4d4f021e","B2","batch2","","614.8000000119209","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","271768","0.0-2.0-2.0","62c41fe598ab94de4d4f021e","B2","batch2","","2614.699999988079","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","10","273609","0.0-2.0-3.0-0.0","62c41fe598ab94de4d4f021e","B2","batch2","","1839","tol_practice","","","","tol_peg_2","1839","1839","0","[[1,2,0],[0,0],[0]]","1","[[1,2,0],[0,0],[3]]","practice","1839","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","11","274336","0.0-2.0-3.0-1.0","62c41fe598ab94de4d4f021e","B2","batch2","","726","tol_practice","","","","tol_peg_3","726","726","0","[[1,2,0],[0,0],[3]]","1","[[1,2,0],[0,0],[3]]","practice","726","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","12","275338","0.0-2.0-4.0","62c41fe598ab94de4d4f021e","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","13","279688","0.0-2.0-5.0-0.0","62c41fe598ab94de4d4f021e","B2","batch2","","4349","tol_practice","","","","tol_peg_1","4349","4349","0","[[1,0,0],[3,0],[0]]","2","[[0,0,0],[3,1],[2]]","practice","4349","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","14","280640","0.0-2.0-5.0-1.0","62c41fe598ab94de4d4f021e","B2","batch2","","951","tol_practice","","","","tol_peg_3","951","951","0","[[1,0,0],[3,0],[2]]","2","[[0,0,0],[3,1],[2]]","practice","951","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","15","281312","0.0-2.0-5.1-0.1","62c41fe598ab94de4d4f021e","B2","batch2","","671","tol_practice","","","","tol_peg_1","671","671","0","[[0,0,0],[3,0],[2]]","3","[[0,0,0],[3,1],[2]]","practice","671","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","16","281880","0.0-2.0-5.1-1.1","62c41fe598ab94de4d4f021e","B2","batch2","","568","tol_practice","","","","tol_peg_2","568","568","0","[[0,0,0],[3,1],[2]]","3","[[0,0,0],[3,1],[2]]","practice","568","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","17","282893","0.0-2.0-6.0","62c41fe598ab94de4d4f021e","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","single-stim-button","18","284832","0.0-2.0-7.0-0.0","62c41fe598ab94de4d4f021e","B2","batch2","","1938","tol_practice","","","","tol_peg_2","1938","1938","0","[[1,2,0],[0,0],[0]]","4","[[1,0,0],[2,0],[3]]","practice","1938","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","19","285496","0.0-2.0-7.0-1.0","62c41fe598ab94de4d4f021e","B2","batch2","","663","tol_practice","","","","tol_peg_3","663","663","0","[[1,2,0],[0,0],[3]]","4","[[1,0,0],[2,0],[3]]","practice","663","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","20","286376","0.0-2.0-7.1-0.1","62c41fe598ab94de4d4f021e","B2","batch2","","880","tol_practice","","","","tol_peg_1","880","880","0","[[1,0,0],[0,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","880","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","21","287288","0.0-2.0-7.1-1.1","62c41fe598ab94de4d4f021e","B2","batch2","","912","tol_practice","","","","tol_peg_2","912","912","0","[[1,0,0],[2,0],[3]]","5","[[1,0,0],[2,0],[3]]","practice","912","","","","","","","","","","","","","","",""
"","","","","","poldrack-single-stim","22","288294","0.0-2.0-8.0","62c41fe598ab94de4d4f021e","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","","0","","","","","","","","","",""
"","","","","","html-button-response","23","295864","0.0-2.0-9.0","62c41fe598ab94de4d4f021e","B2","batch2","","7568.5","tol_instruction","<div class = centerbox><p class = center-block-text>Great job! You are done with practice trials<br>You are about to start official trials.<br> <br> Problem <strong>1</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","24","299648","0.0-2.0-10.0-0.0","62c41fe598ab94de4d4f021e","B2","batch2","","2782","tol_tohand","","","","tol_peg_1","2782","2782","0","[[1,0,0],[3,0],[0]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","25","300440","0.0-2.0-10.0-1.0","62c41fe598ab94de4d4f021e","B2","batch2","","791","tol_toboard","","","","tol_peg_3","791","791","0","[[1,0,0],[3,0],[2]]","1","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","26","301824","0.0-2.0-10.1-0.1","62c41fe598ab94de4d4f021e","B2","batch2","","1384","tol_tohand","","","","tol_peg_2","1384","1384","0","[[1,0,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","27","302472","0.0-2.0-10.1-1.1","62c41fe598ab94de4d4f021e","B2","batch2","","648","tol_toboard","","","","tol_peg_1","648","648","0","[[1,3,0],[0,0],[2]]","2","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","28","305984","0.0-2.0-10.2-0.2","62c41fe598ab94de4d4f021e","B2","batch2","","3512","tol_tohand","","","","tol_peg_3","3512","3512","0","[[1,3,0],[0,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","single-stim-button","29","306616","0.0-2.0-10.2-1.2","62c41fe598ab94de4d4f021e","B2","batch2","","631","tol_toboard","","","","tol_peg_2","631","631","0","[[1,3,0],[2,0],[0]]","3","[[1,3,0],[2,0],[0]]","0","0","","","","","","3","","","","","","","","",""
"","","","","","poldrack-single-stim","30","307623","0.0-2.0-11.0","62c41fe598ab94de4d4f021e","B2","batch2","","-1","tol_feedback","","","true","","1000","1000","500","","","","","","-1","none","true","2782","7678","","","","","","","","","",""
"","","","","","html-button-response","31","308688","0.0-2.0-12.0","62c41fe598ab94de4d4f021e","B2","batch2","","1063.7000000178814","tol_trial_num","<div class = centerbox><p class = center-block-text>problem <strong>2</strong> out of 25 problems</p></div>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","single-stim-button","32","317568","0.0-2.0-13.0-0.0","62c41fe598ab94de4d4f021e","B2","batch2","","8880","tol_tohand","","","","tol_peg_2","8880","8880","0","[[1,2,0],[0,0],[0]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","33","318232","0.0-2.0-13.0-1.0","62c41fe598ab94de4d4f021e","B2","batch2","","662","tol_toboard","","","","tol_peg_3","662","662","0","[[1,2,0],[0,0],[3]]","1","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","34","320056","0.0-2.0-13.1-0.1","62c41fe598ab94de4d4f021e","B2","batch2","","1824","tol_tohand","","","","tol_peg_1","1824","1824","0","[[1,0,0],[0,0],[3]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","35","321384","0.0-2.0-13.1-1.1","62c41fe598ab94de4d4f021e","B2","batch2","","1327","tol_toboard","","","","tol_peg_2","1327","1327","0","[[1,0,0],[2,0],[3]]","2","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","36","322752","0.0-2.0-13.2-0.2","62c41fe598ab94de4d4f021e","B2","batch2","","1367","tol_tohand","","","","tol_peg_1","1367","1367","0","[[0,0,0],[2,0],[3]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","37","326912","0.0-2.0-13.2-1.2","62c41fe598ab94de4d4f021e","B2","batch2","","4159","tol_toboard","","","","tol_peg_2","4159","4159","0","[[0,0,0],[2,1],[3]]","3","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","38","329896","0.0-2.0-13.3-0.3","62c41fe598ab94de4d4f021e","B2","batch2","","2983","tol_tohand","","","","tol_peg_2","2983","2983","0","[[0,0,0],[2,0],[3]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","39","332592","0.0-2.0-13.3-1.3","62c41fe598ab94de4d4f021e","B2","batch2","","2696","tol_toboard","","","","tol_peg_1","2696","2696","0","[[1,0,0],[2,0],[3]]","4","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","40","334448","0.0-2.0-13.4-0.4","62c41fe598ab94de4d4f021e","B2","batch2","","1855","tol_tohand","","","","tol_peg_2","1855","1855","0","[[1,0,0],[0,0],[3]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","41","336760","0.0-2.0-13.4-1.4","62c41fe598ab94de4d4f021e","B2","batch2","","2311","tol_toboard","","","","tol_peg_2","2311","2311","0","[[1,0,0],[2,0],[3]]","5","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","42","337320","0.0-2.0-13.5-0.5","62c41fe598ab94de4d4f021e","B2","batch2","","559","tol_tohand","","","","tol_peg_3","559","559","0","[[1,0,0],[2,0],[0]]","6","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","43","337936","0.0-2.0-13.5-1.5","62c41fe598ab94de4d4f021e","B2","batch2","","615","tol_toboard","","","","tol_peg_2","615","615","0","[[1,0,0],[2,3],[0]]","6","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
"","","","","","single-stim-button","44","338688","0.0-2.0-13.6-0.6","62c41fe598ab94de4d4f021e","B2","batch2","","752","tol_tohand","","","","tol_peg_1","752","752","0","[[0,0,0],[2,3],[0]]","7","[[2,1,3],[0,0],[0]]","1","0","","","","","","5","","","","","","","","",""
