"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","task","stimulus","response","correct","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","2813","0.0-0.0","62c44d672834a5c5ce7362f1","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","10616","0.0-1.0-0.0","62c44d672834a5c5ce7362f1","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","13975","0.0-2.0-0.0","62c44d672834a5c5ce7362f1","D2","batch4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","77074","0.0-2.0-1.0-0.0-0.0","62c44d672834a5c5ce7362f1","D2","batch4","[{""page_index"":0,""viewing_time"":10803.299999952316},{""page_index"":1,""viewing_time"":7828},{""page_index"":2,""viewing_time"":3834},{""page_index"":3,""viewing_time"":18143.899999976158},{""page_index"":4,""viewing_time"":8426},{""page_index"":5,""viewing_time"":7734},{""page_index"":6,""viewing_time"":6328.100000023842}]","63097.699999928474","tol-instructions","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","78074","0.0-2.0-1.0-1.0-0.0","62c44d672834a5c5ce7362f1","D2","batch4","","998.1999999284744","tol_enter_quiz","<p class=block-text> Let's answer a few questions <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","83804","0.0-2.0-1.0-1.0-1.0","62c44d672834a5c5ce7362f1","D2","batch4","","5728.399999976158","tol_quiz","<p class = block-text>True or False: You can only move the ball on top of a peg. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","84774","0.0-2.0-1.0-1.0-2.0","62c44d672834a5c5ce7362f1","D2","batch4","","968.8000000715256","tol_quiz_feedback","<p class = block-text>Correct! You can only move the ball on top of a peg.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","89998","0.0-2.0-1.0-1.0-3.0","62c44d672834a5c5ce7362f1","D2","batch4","","5222.5","tol_quiz","<p class = block-text>True or False: You should try to match your board with the target board with fewest moves possible. <br></p>","0","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","90766","0.0-2.0-1.0-1.0-4.0","62c44d672834a5c5ce7362f1","D2","batch4","","767.1999999284744","tol_quiz_feedback","<p class = block-text>Correct! </p>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","92028","0.0-2.0-2.0","62c44d672834a5c5ce7362f1","D2","batch4","","1260.6000000238419","","<p class=block-text> Now that you've understood the game, let's practice a few easier examples before we start!<br> <br>","0","","","","","","","","","","","","","","","","","","","","","","","","",""
