"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","1068","0.0-0.0","62d04f92bfa53e94ef2fabaf","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","22515","0.0-1.0-0.0","62d04f92bfa53e94ef2fabaf","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","30567","0.0-2.0-0.0","62d04f92bfa53e94ef2fabaf","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","139406","0.0-2.0-1.0-0.0","62d04f92bfa53e94ef2fabaf","B2","batch2","[{""page_index"":0,""viewing_time"":96047},{""page_index"":1,""viewing_time"":12790}]","108838","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","267566","0.0-2.0-1.0-1.0-0.0","62d04f92bfa53e94ef2fabaf","B2","batch2","","128160","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","273666","0.0-2.0-1.0-1.0-1.0","62d04f92bfa53e94ef2fabaf","B2","batch2","","6098","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","360386","0.0-2.0-1.0-1.0-2.0","62d04f92bfa53e94ef2fabaf","B2","batch2","","86719","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","366192","0.0-2.0-1.0-1.0-3.0","62d04f92bfa53e94ef2fabaf","B2","batch2","","5804","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","367104","0.0-2.0-1.0-1.0-4.0","62d04f92bfa53e94ef2fabaf","B2","batch2","","911","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","372722","0.0-2.0-1.0-2.0-0.0","62d04f92bfa53e94ef2fabaf","B2","batch2","","5616","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
