"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","spm_correct","spm_rt","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","857","0.0-0.0","62d39a47594b3446ba0c1585","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","7344","0.0-1.0-0.0","62d39a47594b3446ba0c1585","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","11753","0.0-2.0-0.0","62d39a47594b3446ba0c1585","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","14690","0.0-2.0-1.0-0.0","62d39a47594b3446ba0c1585","B2","batch2","[{""page_index"":0,""viewing_time"":1741.1999998092651},{""page_index"":1,""viewing_time"":1194.8000001907349}]","2936.199999809265","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","15638","0.0-2.0-1.0-1.0-0.0","62d39a47594b3446ba0c1585","B2","batch2","","947.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","21128","0.0-2.0-1.0-1.0-1.0","62d39a47594b3446ba0c1585","B2","batch2","","5489.300000190735","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","0","pattern_quiz","false","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","23258","0.0-2.0-1.0-1.0-2.0","62d39a47594b3446ba0c1585","B2","batch2","","2129.5","<p class = block-text>Incorrect. Remember, You should make your choice as fast as you can.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","27729","0.0-2.0-1.0-1.0-3.0","62d39a47594b3446ba0c1585","B2","batch2","","4470.200000286102","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","28419","0.0-2.0-1.0-1.0-4.0","62d39a47594b3446ba0c1585","B2","batch2","","689.3000001907349","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","30867","0.0-2.0-1.0-2.0-0.0","62d39a47594b3446ba0c1585","B2","batch2","","2447.5","<p class = block-text>You made too many incorrect choices.</p><p class = block-text>You will now repeat the instruction and quiz</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
