"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","task","rt","stimulus","response","item","answer","correct","spm_correct","spm_rt","view_history","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves"
"true","false","[]","[]","[]","preload","0","621","0.0-0.0","62f14bb75eaad1e10e24f48e","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","29733","0.0-1.0-0.0","62f14bb75eaad1e10e24f48e","B2","batch2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","32222","0.0-2.0-0.0","62f14bb75eaad1e10e24f48e","B2","batch2","spm_fullscreen","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","3","49965","0.0-2.0-1.0","62f14bb75eaad1e10e24f48e","B2","batch2","","17742.5","<p class = block-text><b>Instructions</b> <br>This is a widely used intelligence test in research. <br>In this test, a figure with a missing piece will be presented.<br>Below the figure are alternative pieces to complete the figure, only one of which is correct.<br> Different figures might involve different principles for obtaining the missing piece<br>Your job is to select the most logical piece to complete the figure.</p>","0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","4","50773","0.0-2.0-2.0-0.0","62f14bb75eaad1e10e24f48e","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 1 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","5","59853","0.0-2.0-2.0-1.0","62f14bb75eaad1e10e24f48e","B2","batch2","spm_respsonse","9077.600000143051","img/question_1_1.jpeg","3","mat_01","4","1","1","9077.600000143051","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","6","60928","0.0-2.0-2.0-0.1","62f14bb75eaad1e10e24f48e","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 2 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","7","64069","0.0-2.0-2.0-1.1","62f14bb75eaad1e10e24f48e","B2","batch2","spm_respsonse","3139.9000000953674","img/question_1_2.jpeg","4","mat_02","5","1","1","3139.9000000953674","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","8","65143","0.0-2.0-2.0-0.2","62f14bb75eaad1e10e24f48e","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 3 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","9","68783","0.0-2.0-2.0-1.2","62f14bb75eaad1e10e24f48e","B2","batch2","spm_respsonse","3639.2000000476837","img/question_1_3.jpeg","0","mat_03","1","1","1","3639.2000000476837","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","10","69845","0.0-2.0-2.0-0.3","62f14bb75eaad1e10e24f48e","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 4 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","11","72780","0.0-2.0-2.0-1.3","62f14bb75eaad1e10e24f48e","B2","batch2","spm_respsonse","2933.4000000953674","img/question_1_4.jpeg","1","mat_04","2","1","1","2933.4000000953674","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","12","73859","0.0-2.0-2.0-0.4","62f14bb75eaad1e10e24f48e","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 5 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","13","77340","0.0-2.0-2.0-1.4","62f14bb75eaad1e10e24f48e","B2","batch2","spm_respsonse","3479.9000000953674","img/question_1_5.jpeg","5","mat_05","6","1","1","3479.9000000953674","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","14","78408","0.0-2.0-2.0-0.5","62f14bb75eaad1e10e24f48e","B2","batch2","spm_show_trial_num","null","<p class=block-text>Trial 6 out of 60</p>","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-button-response","15","80892","0.0-2.0-2.0-1.5","62f14bb75eaad1e10e24f48e","B2","batch2","spm_respsonse","2482.7000000476837","img/question_1_6.jpeg","2","mat_06","3","1","1","2482.7000000476837","","","","","","","","","","","","","","","","","","","","",""
