"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","48016","0.0-0.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","3508919","0.0-1.0-0.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","3720946","0.0-2.0-0.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","3873313","0.0-2.0-1.0-0.0","62fb383ce16d6921d1c2c2b8","F1","batch6","[{""page_index"":0,""viewing_time"":142522.69999999925},{""page_index"":1,""viewing_time"":9838.800000000745}]","152361.80000000075","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","3874424","0.0-2.0-1.0-1.0-0.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","1108.5","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","3878152","0.0-2.0-1.0-1.0-1.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","3725.89999999851","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","3880234","0.0-2.0-1.0-1.0-2.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","2080.39999999851","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","3883275","0.0-2.0-1.0-1.0-3.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","3040","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","3884256","0.0-2.0-1.0-1.0-4.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","978.5","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","3885411","0.0-2.0-2.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","1153.199999999255","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","3889404","0.0-2.0-3.0-0.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","3989.89999999851","stim/prac_no_16_1.png","f","pattern_practice","false","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","3890424","0.0-2.0-3.0-1.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","null","<p style=""font-size:30px;color:red;"">Wrong.</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","3890490","0.0-2.0-3.0-0.1","62fb383ce16d6921d1c2c2b8","F1","batch6","","64.70000000298023","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","3891518","0.0-2.0-3.0-1.1","62fb383ce16d6921d1c2c2b8","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","3892483","0.0-2.0-3.0-0.2","62fb383ce16d6921d1c2c2b8","F1","batch6","","963.3999999985099","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","3893511","0.0-2.0-3.0-1.2","62fb383ce16d6921d1c2c2b8","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","3894774","0.0-2.0-3.0-0.3","62fb383ce16d6921d1c2c2b8","F1","batch6","","1261.5999999977648","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","3895798","0.0-2.0-3.0-1.3","62fb383ce16d6921d1c2c2b8","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","3896563","0.0-2.0-3.0-0.4","62fb383ce16d6921d1c2c2b8","F1","batch6","","763.1000000014901","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","3897585","0.0-2.0-3.0-1.4","62fb383ce16d6921d1c2c2b8","F1","batch6","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","3898960","0.0-2.0-4.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","1372.6000000014901","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 80% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","3899774","0.0-2.0-5.0-0.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","3901370","0.0-2.0-5.0-1.0","62fb383ce16d6921d1c2c2b8","F1","batch6","","1595.199999999255","stim/yes_63_dia_b1.png","j","pattern_response","false","f","pattern_78","1595.199999999255","false","0","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","3902690","0.0-2.0-5.0-0.1","62fb383ce16d6921d1c2c2b8","F1","batch6","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","3903368","0.0-2.0-5.0-1.1","62fb383ce16d6921d1c2c2b8","F1","batch6","","676.8999999985099","stim/yes_29_hor_b1_b.png","j","pattern_response","false","f","pattern_52","676.8999999985099","false","0","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","3904694","0.0-2.0-5.0-0.2","62fb383ce16d6921d1c2c2b8","F1","batch6","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","3906934","0.0-2.0-5.0-1.2","62fb383ce16d6921d1c2c2b8","F1","batch6","","2239.199999999255","stim/yes_12_hor_w1_w.png","f","pattern_response","true","f","pattern_42","2239.199999999255","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","3908253","0.0-2.0-5.0-0.3","62fb383ce16d6921d1c2c2b8","F1","batch6","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
