"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","session_id","view_history","rt","stimulus","response","task","correct","answer","item","fiar_detect_rt","fiar_detect_correct","total_correct_fiar_detect","post_trial_gap","choices","mouse_click","stim_duration","block_duration","timing_post_trial","current_position","tol_num_moves_made","tol_target","tol_problem_id","tol_rt","key_press","possible_responses","tol_correct","preplanning","tol_rt_per_trial","tol_min_moves","spm_correct","spm_rt"
"true","false","[]","[]","[]","preload","0","35569","0.0-0.0","62fd65d2cb867728e4015273","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","1","43963","0.0-1.0-0.0","62fd65d2cb867728e4015273","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"true","","","","","fullscreen","2","48261","0.0-2.0-0.0","62fd65d2cb867728e4015273","E1","batch5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","instructions","3","69123","0.0-2.0-1.0-0.0","62fd65d2cb867728e4015273","E1","batch5","[{""page_index"":0,""viewing_time"":14954.5},{""page_index"":1,""viewing_time"":5906.699999988079}]","20861.69999998808","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","4","70124","0.0-2.0-1.0-1.0-0.0","62fd65d2cb867728e4015273","E1","batch5","","999.9000000357628","<p class=block-text> Let's answer a few questions <br>","0","pattern_enter_quiz","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","5","74984","0.0-2.0-1.0-1.0-1.0","62fd65d2cb867728e4015273","E1","batch5","","4858.399999976158","<p class = block-text>True or False: You will have as much time as you want to make each choice. <br></p>","1","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","6","78022","0.0-2.0-1.0-1.0-2.0","62fd65d2cb867728e4015273","E1","batch5","","3035.699999988079","<p class = block-text>Correct! You should make your choice <strong> as fast as you can</strong>.</p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","7","82016","0.0-2.0-1.0-1.0-3.0","62fd65d2cb867728e4015273","E1","batch5","","3992.7999999523163","<p class = block-text>True or False: You will look for 4 pieces in black or white color connected in a row either horizontally, vertically or diagonally. <br></p>","0","pattern_quiz","true","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","8","82826","0.0-2.0-1.0-1.0-4.0","62fd65d2cb867728e4015273","E1","batch5","","808.6000000238419","<p class = block-text>Correct! </p>","0","pattern_quiz_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","9","84738","0.0-2.0-2.0","62fd65d2cb867728e4015273","E1","batch5","","1910.3999999761581","<p class=block-text> Now that you've understood the game, let's do a few practice trials before we start!<br> <br>","0","pattern_enter_practice","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","10","86214","0.0-2.0-3.0-0.0","62fd65d2cb867728e4015273","E1","batch5","","1464.199999988079","stim/prac_yes_16_ver_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","11","87234","0.0-2.0-3.0-1.0","62fd65d2cb867728e4015273","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","12","88685","0.0-2.0-3.0-0.1","62fd65d2cb867728e4015273","E1","batch5","","1449.3999999761581","stim/prac_yes_20_dia_b1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","13","89701","0.0-2.0-3.0-1.1","62fd65d2cb867728e4015273","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","14","90613","0.0-2.0-3.0-0.2","62fd65d2cb867728e4015273","E1","batch5","","911.1000000238419","stim/prac_yes_18_hor_w1.png","f","pattern_practice","true","f","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","15","91628","0.0-2.0-3.0-1.2","62fd65d2cb867728e4015273","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","16","92693","0.0-2.0-3.0-0.3","62fd65d2cb867728e4015273","E1","batch5","","1064.2000000476837","stim/prac_no_18_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","17","93717","0.0-2.0-3.0-1.3","62fd65d2cb867728e4015273","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","18","95509","0.0-2.0-3.0-0.4","62fd65d2cb867728e4015273","E1","batch5","","1790.1000000238419","stim/prac_no_16_1.png","j","pattern_practice","true","j","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","19","96524","0.0-2.0-3.0-1.4","62fd65d2cb867728e4015273","E1","batch5","","null","<p style=""font-size:30px;color:green;"">Correct!</p>","null","pattern_feedback","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-button-response","20","98408","0.0-2.0-4.0","62fd65d2cb867728e4015273","E1","batch5","","1881.5999999642372","<p class=block-text> Good job! You are done with practice trials!<br>
        You responded correctly on 100% of the trials.<br>
        Press the button below to start official trials. Now you won't see any feedback about your response</p>","0","pattern_enter_official_trials","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","21","99220","0.0-2.0-5.0-0.0","62fd65d2cb867728e4015273","E1","batch5","","null","<p class=block-text>Trial 1 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","22","104597","0.0-2.0-5.0-1.0","62fd65d2cb867728e4015273","E1","batch5","","5375.5","stim/no_58_1_w.png","j","pattern_response","true","j","pattern_35","5375.5","true","1","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","23","105916","0.0-2.0-5.0-0.1","62fd65d2cb867728e4015273","E1","batch5","","null","<p class=block-text>Trial 2 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","24","107693","0.0-2.0-5.0-1.1","62fd65d2cb867728e4015273","E1","batch5","","1775.3999999761581","stim/no_18_1_b.png","j","pattern_response","true","j","pattern_05","1775.3999999761581","true","2","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","25","109011","0.0-2.0-5.0-0.2","62fd65d2cb867728e4015273","E1","batch5","","null","<p class=block-text>Trial 3 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","26","110788","0.0-2.0-5.0-1.2","62fd65d2cb867728e4015273","E1","batch5","","1775.4000000357628","stim/yes_51_dia_b1.png","f","pattern_response","true","f","pattern_72","1775.4000000357628","true","3","","","","","","","","","","","","","","","","","","",""
"","","","","","html-keyboard-response","27","112107","0.0-2.0-5.0-0.3","62fd65d2cb867728e4015273","E1","batch5","","null","<p class=block-text>Trial 4 out of 78</p>","null","pattern_show_trial_num","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","image-keyboard-response","28","116403","0.0-2.0-5.0-1.3","62fd65d2cb867728e4015273","E1","batch5","","4295","stim/no_49_2_b.png","j","pattern_response","true","j","pattern_29","4295","true","4","","","","","","","","","","","","","","","","","","",""
